,author,content,score,time
26,Kennie Diamond,"Every country in the world should give each citizen a free box of masks as a precautions measure whenever this virus has run its cource, and demand is gone.. Cause at some point in the future, another virus will appear.. It might be somewhat expensive to give such a box to everyone, but it could drastically lower the number of infected people who needs medical care.. cause guess what.. In a hospital, the staff has to go through multiple masks to treat the infected ones anyway, so more infected means more masks used, also.. the doctors needs payment, and more people infected means more death and a harder time to contain it, among alot of other stuff.. also, if everyone had masks already, the demand wouldnt be so high, meaning that whenever the next virus hits, hospitals would have all the masks they needed, instead of a shortage..

So yeah.. The box citizens could recieve could have a box of masks, a paper about virus/bacteria facts, a guideline on how and when to use the masks, and maybe some hand sanitizer and other stuff aswell.",0,2020-02-21T08:56:05.000Z
27,Robert Castle,"GcMaf  and C60 would be enormously helpful for people to take in order to build immune systems yet governments and the pharmaceutical companies keep this all secret,why?",0,2020-02-21T08:41:23.000Z
28,Hans Tan,They can kiss the 2020 Olympics Goodbye if more are affected!,0,2020-02-21T06:49:31.000Z
29,Stephanie Washington,"Well japan, get ready. You’re about to hav a another huge outbreak 😷..u know besides the one u created on that ship.",0,2020-02-21T06:42:39.000Z
30,b pavilion,My question is:  why are they putting blockades in the first place?  What kind of damage will the pipelines do to the land?,0,2020-02-21T04:47:26.000Z
31,LoveAndLight 360,"If it is native land there is no question, STAY OFF. The white man does it again, what he wants he takes - its disgusting. History repeats itself. A damn shame to all white people. Leave them alone and quit worrying about layoffs when you are breaking the law by being on native land.",0,2020-02-21T03:23:43.000Z
32,D Loui,set them sailed antartica .....,1,2020-02-21T02:18:51.000Z
33,Coronavirus,The end of the world is coming,0,2020-02-21T02:01:09.000Z
34,ElLic Online,japan could have a local epidemy reladet to that mistake,0,2020-02-21T01:49:26.000Z
35,Sweetchilliheat18,"The original people need an army, a legit tank and helicopter army.

Maybe then they would be given the respect they deserve.",0,2020-02-21T01:38:42.000Z
36,Kay King,"Canada MP, is weak af",0,2020-02-21T01:37:11.000Z
37,Sweetchilliheat18,"Its so simple, stop the pipeline. Problem solved.

The pipeline serves the rich, not the people of Canada.

Stop the pipeline. Ontario machinist",0,2020-02-21T01:37:01.000Z
