,author,content,score,time
0,Harry Nykorotapick,How much money will the PRICK that invented this VIRUS make when the Pandemic clears up and the stock markets go wild??,0,2020-03-29T21:31:34.000Z
1,Harry Nykorotapick,Why does the ROYAL BANK OF CANADA  have ZERO hand sanitizer next to their ATM machines in most Branches? One of the richest companies in Canada and these PRICKS dont even supply basic cleanliness aids??,0,2020-03-29T21:28:06.000Z
2,daddadification,"coronavirus is fake they changed from coron to coron_virus or anti-body_virus

it a way for people to start buying more from shops to make people

Next tax for house goes up because people think its a virus

not a virus or it would have got us all because people was outside

getting the anti-body_virus without knowing it

How i be safe 
Locked myself in my room and wait for it to hurt everyone who wants it

getting the anti-body_virus  70% 

Doctor working on a cure 0% i know yet

Cure Found but i only know it 

its stopin you anti-body from working right 

Making the ant-body slower = more infected before they try to cure it",0,2020-03-26T16:52:06.000Z
3,Nakasusulasok na po,"""No new cases in China""
 It's like they are lying, or this is a weapon and they already have the vaccine for it.
 I just hope it's the 1st one. 😔",1,2020-03-24T19:06:12.000Z
4,Franklin Clinton,China just stopped reporting the new cases lol,0,2020-03-24T11:20:11.000Z
5,KhAoz,"Not to take away from the seriousness of this issue but I thought they were gonna play 'Call Me, Maybe' at the start of the video.",0,2020-03-24T08:33:54.000Z
6,Berleezy’s booty Cheeks,Be safe,0,2020-03-24T04:22:47.000Z
7,James Clark,I don't believe China fix their problem it's still in the air around the whole world so now they're still dying over there just like in the USA,0,2020-03-24T00:35:54.000Z
8,IntoThe Void,"Stereotype just like virus, but it damage people’s brain.",0,2020-03-23T23:37:56.000Z
9,Freedom,"Hold China accountable for hiding the information for 2 months, and allow it spreading to all over the world.",0,2020-03-23T21:33:56.000Z
10,jaime gallardo,"Lets except it, were gonna lose our planet, it doesn't matter what ""scientists"" and 'doctors"" say, unless we end the people with the viruses to prevent it to increase and kill more, then if this is the time for Earth to end, then so be it. A new life can be reborn.",0,2020-03-23T19:57:50.000Z
11,Adan Ali,"this shows even with the latest technology and medical knowledge soaring, we are weak. only the true God can help us now...not technology, not knowledge not anything...only the true God",0,2020-03-23T19:21:55.000Z
12,Smiley Chris,"Governments are shutting down jobs all over the world but they all still get paid, all government should go Payless till this is over, 99% of then has tons of money, big house but everyone else should starve!!! Spread this message!!!",0,2020-03-23T17:46:55.000Z
13,Trevor Philips,"too little too late 

when Beijing and Shanghai are fine but Western cities are not, that means government really dropped the ball",2,2020-03-23T17:16:21.000Z
14,regular donkey,"The event is unfolding as planned.
Note the family names you won't see effected by this",2,2020-03-23T13:13:24.000Z
15,Jimbo Bob,Australia should have closed its borders to foreigners 25 years ago don’t need them don’t want them,0,2020-03-23T12:15:32.000Z
16,odeus predrinn,"it seems that the french (professor Raoul) have found a very effective drug against covid 19, it is a treatment based on hydroxychloroquine at 600 mlg / day since 10 days ..... the action of the drug is very strong, ...;so well done and thx to the french for this discovery ! thx to telling this to the world !",0,2020-03-23T04:27:43.000Z
17,Emma Hutton,NZ will be going into level 4 alert in 48 hours,0,2020-03-23T01:02:13.000Z
18,Nail Polish,God is in control! Keep the FAITH❤️,0,2020-03-23T00:29:38.000Z
19,Eliana Sul,Ainda tem essa quantidade de gente juntas,0,2020-03-22T16:37:21.000Z
20,Xilong Zhou,"Please believe China,learn from China",0,2020-03-22T12:40:34.000Z
21,マックス,"Global News clearly doesn't fact check their sources first. They'll believe anything that come out of the Chinese Communist Parties mouth. You really believe the CCP will tell the truth? They started all of this by trying to cover it up, silencing Dr. Li Wenliang one of the first whistleblowers. He died because of the CCP's negligence and the WHO Tedros Adhanom trying to down play this virus. Shame on you for spreading the CCP's propaganda.",1,2020-03-22T11:02:11.000Z
22,I AM,The UK has socialized medicine and the system is so inefficient I fear that they will suffer greatly.,0,2020-03-22T10:54:34.000Z
23,Universal World,Hello,0,2020-03-22T10:46:18.000Z
24,UNITED NATIONS,"News from around the world reported that the Sapporo Snow Festival spread coronavirus and many visitors around the world are died from virus.
If the Japanese government made human life the top priority, Japan would have stopped international events.
But Japan held the Tokyo marathon in early March.
So Virus infections are increasing in Japan and abroad now.
Will Tokyo Olympics be held sacrificing human life?
IOC and the Japanese government should make human life the top priority.
I think the Tokyo Olympics should be canceled.",2,2020-03-22T02:08:53.000Z
25,Josue Salazar,Soy el creador es es la cura,1,2020-03-21T22:43:08.000Z
26,Charles W R,"Shinzo Abe is doing this to Japan.  Japan will be Italy very soon.
""In the critical early days of the outbreak, Prime Minister Giuseppe Conte and other top officials sought to down play the threat, creating confusion and a false sense of security that allowed the virus to spread.
They blamed Italy’s high number of infections on aggressive testing of people without symptoms in the north, which they argued only created hysteria and tarnished the country’s image abroad.""",4,2020-03-21T22:14:56.000Z
27,Red Alert,"Italy's death toll is not the highest as of now. Lie-na and the CCP have been hiding numbers for weeks now with cases being stagnant as of now. There's no way Lie-na and most of the 3rd world countries can have ridiculously low figures while European figures explode overnight.


Wake up people.",0,2020-03-21T17:22:55.000Z
28,Astelsia,"We just need to do what Hillary said.
We're all Stronger Together. It's time to unite against COVID-19.",0,2020-03-21T11:19:42.000Z
29,Ap Ra,I was watching the news of one country that offered a 100% guarantee of companies whose sales fell due to the coronavirus,0,2020-03-21T04:53:40.000Z
30,j.p grounala,Stupid worshipers,0,2020-03-21T04:07:29.000Z
31,Ethan Kelleher,Isn’t this sad it’s devastating,2,2020-03-21T02:26:53.000Z
32,Tania Battiau,"Religion will not save you or your fellow humans ! Stop gathering to pray , you are endangering others. Selfish behaviour.",0,2020-03-21T01:45:23.000Z
33,Rachel Melhado,Every debt incurred from corona virus. China pick up tab or world ban all products and college students from entry into rest of world and force them to shut down those god damn.  WET MARKETS,0,2020-03-20T22:21:40.000Z
34,Jordan Rivers,"You know WHO the Freak the WHO works for. WHO the world's governments work for. Governments of the False sun . The god of this world; age. The 2 Books of the Holy Bible he hates most: GENESIS: addresses his Devices. 
REVELATION: addresses his destruction. False Sun Virus: CORONAVIRUS. NO DOUBT:  satanic / manmade. 
Wake Up.",0,2020-03-20T21:52:22.000Z
35,ServantOfAllah,Ok...china we believe u...🙄🙄🙄🙄,0,2020-03-20T21:47:03.000Z
36,Miguel Mouta Mouta,"Nobody talks about Russia, Cuba, North Korea, because they have the best medical care on planet! 😀",1,2020-03-20T21:12:43.000Z
37,Shiri Chandra,China lies and their people,0,2020-03-20T20:33:51.000Z
38,shmunkybria,Why is it necessary to mention that Japan's tourism industry is suffering? ... its the entire world clearly,26,2020-03-20T18:31:42.000Z
39,snowy lim,"Xi jing ping brain is full of rubbish,I don't expect you have any virtue ,don't ever think you can cover when  so many people  have conclusion to what you have done or things you gonna do.",0,2020-03-20T18:02:51.000Z
40,Makzy 2Much,Makzy2Much | EP.8 COVID-19 update life in Sydney (กินร้อน ช้อนกู ถูสบู่ อยู่ห่างกัน) 🦠🦠💉💉,0,2020-03-20T17:45:25.000Z
41,snowy lim,"Now the most terrible thing is that,he deliberately spreading this to other country,for unforgivable reason.Other words,murderer.",1,2020-03-20T17:38:47.000Z
42,snowy lim,"He represents china isn't it.Not try to blame anyone but,not even the problems he is full of lies,at the end of January,death numbers are only hundreds,only in China,suddenly at the end of February, increase to three thousand,should have close the airport when virus start spreading to other country.",0,2020-03-20T17:33:01.000Z
43,snowy lim,"Should put xi jing ping picture in here,president should responsible for the safety of their country's people.",0,2020-03-20T17:25:00.000Z
44,stefamiec,"Wearing a mask does help. People stop challenging people who are wearing mask. THEY ARE NOT SICK, IT'S FOR PREVENTION. Lesser gathering and just stay at home relax for a few weeks.",12,2020-03-20T17:22:08.000Z
45,LISA Lapree,"*****global can you ask if it's still ok for the kids to play outside while social distancing from others, will there be more online shopping being offered. Will Ontario be spraying like China on the parks ect",0,2020-03-20T17:12:15.000Z
46,Human Being,China should be isolated from rest of the world for a year or so,1,2020-03-20T15:53:58.000Z
47,Charles W R,"Number of confirmed cases is relative to the number of tests.
Japan's restrictive (small number of) testing is the reason for the small official count (1,639)",1,2020-03-20T15:30:56.000Z
48,A Person,"While I do agree that China is probably lying about their cases, I feel like people are just taking this opportunity to be openly racist. Don't be a dick",0,2020-03-20T12:15:04.000Z
49,TG ETA,"Even after the Coronavirus Said to be over, we still have to be careful for a few months ...",7,2020-03-20T11:46:07.000Z
50,The Bank Beater fishing,Thanks China for this mess . Hopefully when this is over the rest of the world will boycott China.,16,2020-03-20T11:44:06.000Z
51,Horse237,Take a zinc lozenge and chloroquine every day for 6 days and the virus disappears. That means the virus is no longer transmissible. That means the economy will turn around and we can get back to work.,0,2020-03-20T11:37:08.000Z
52,Alan,More people living in Italy is going to die from the coronavirus soon. Rip,0,2020-03-20T11:15:19.000Z
53,swarojit sharma,China is lying!,3,2020-03-20T08:56:39.000Z
54,Janitra Falvierna,"COVID-19: I may not the deadliest one but I can take over The World easily, So hold My Crown 👑",1,2020-03-20T06:12:32.000Z
55,CHRISTOur ETERNALJOY,"It is so sad that the world is under the control of evil one (devil)(1John5:19).and in 2Corin.4:4 the god (fake) of this world blinded the mind of unbelievers.but The TRUTH is GOD ALMIGHTY (FATHER,WORD,HOLY SPORIT) is the CREATOR of the World and All Things therein(Acts17:24).in Rev.11:15 says that all kingdoms of this world become the Kingdom of THE LORD and HIS LAMB ,and HE shall REIGN For ever and ever.There is HOPE in GOD that is Why We should do What Israelites and Jacob did to Please GOD (Gen.35:2&1Sam.7:3) to Stop that corona virus that spread the whole world.",0,2020-03-20T05:49:28.000Z
56,Airstrykirr Labor of love,Not a COVID its a CHEMICAL AGENT,0,2020-03-20T05:40:44.000Z
57,Al-zein Kusmantoro,New Zealand is already closing its borders to those who are not New Zealand citizens or permanent residents.,1,2020-03-20T05:40:38.000Z
58,Adelfa Young,"I don't  believe  it! This is make people  worries  for no reason. 
Pleased  be nice",0,2020-03-20T04:33:27.000Z
59,Cubamus Prime,China will pay for it's Kung Flu Virus .,0,2020-03-20T04:23:17.000Z
60,The ultimate T-rex,"I see, it close up the borders to stop the spread.",0,2020-03-20T04:13:59.000Z
61,KK,China. Liar liar pants on fire.,1,2020-03-20T04:05:47.000Z
62,Alicia Stephen,This is so sad!,1,2020-03-20T04:02:30.000Z
63,Horaine Harris,"May God comfort and protect us in this time of grief and sorrow. My prayer goes to the entire world:
Lord please provide an intervention for this nightmare to be over very quickly. Bless us with strength and hope to fight against and overcome this invisible enemy (coronavirus) and to provide a speedy recovery to those that are infected and who will be infected. Please strengthen our strategies to elimate the spread of the virus and to bless and protect the doctors, nurses and Healthcare workers. In Jesus Christ name I pray. Amen 🙏🏽",1,2020-03-20T03:08:28.000Z
64,taj bd,cina can't help us,0,2020-03-20T02:38:38.000Z
65,L,"italian young ppl man.... fk... wont listen to the warning...  the average age of death due to coronavirus in Italy is 80.5 years old,  young ppl there need to be more responsible !!!",0,2020-03-20T02:28:22.000Z
66,Dung Tran,Chinavirus D-19 has destroyed Italy completely!,9,2020-03-20T01:50:49.000Z
67,Tryny Teichert,The media should STOP cheering for China’s LIES!!!,3,2020-03-20T01:42:41.000Z
68,Tryny Teichert,I don’t believe anything CHINA says!!,15,2020-03-20T01:37:51.000Z
