,author,content,score,time
0,Flora Havard,You are not ready for anything yet You are misleading people's and fighting Against God Almighty this the wrath of God you dealing with not man made 💯 percent. we had better pray and turn to God and ask God to forgive you for your sins.,0,2020-03-26T02:04:12.000Z
1,robert miller,"less than 0.000001% of the population is infected - so that is the threshold of a pandemic ? global pop of over 10 billion less than 100,000 infected - yep it the end of the world",0,2020-03-04T16:12:41.000Z
2,Fliteskin Aeroscale,https://youtu.be/OM8GO7yEjfE,0,2020-03-03T00:02:34.000Z
3,Bill Hawkins,They were eating bats.  Little furry flying Critters.  Nobody eats bats ...  We have this coming just for letting that happen.,0,2020-03-02T18:43:24.000Z
4,Artemirr Lazaris,"So the joke about coronavirus is that it's common cold, it mutates every seasonal term in a pattern. That's why it's 19cod. This fear mongering is rather funny. It allows getting the idiots that live in fear to correct their habits. Pretty sure everyone has gotten the common cold.",0,2020-03-02T17:56:54.000Z
5,Von Allan,your being lied to!!! https://www.youtube.com/watch?v=NVzne_ZQ0Vo  @13:13!!!!,0,2020-03-02T16:25:11.000Z
6,tiny little me,"1. Global Warming/Climate    Change...🤪
2. Trump's Impeachment Trial...🤪
3. Coronavirus Outbreak...🤪",0,2020-03-01T17:59:30.000Z
7,tiny little me,People should stop their flatulation in public to prevent the virus from spreading.😷,0,2020-03-01T17:35:21.000Z
8,tiny little me,Trump's pink eyeshadow matches his pink tie. 😉,0,2020-03-01T17:26:47.000Z
9,aomanchutube,"I totally missed this. We got a beer related mass shooting and a beer related Pandemic virus. Now I'm going to be on the lookout for beer relations with other things. Like the Taliban, is that a middle East beer name? Or location of make? Maybe that's where pilsner was invented? Trump is easy, he's obviously slightly drunk all the time.",0,2020-03-01T11:52:12.000Z
10,ThaReal Truth,You expect after generations and generation of people who probably been handling these bats that long all of a sudden they touch blood or. Urine you really think people are dumb,0,2020-02-29T18:52:30.000Z
11,AtoZ,"It took Noah 100 years to build the Ark. For 100 years he was made fun of. ""Look at Noah, he's such a conspiracy theorist. Why is he prepping when the world is doing so well right now"".

Then it started to rain......

Looks like us prepped were right",0,2020-02-29T18:16:07.000Z
12,Gmmonica godsgotthis,We need to try and push the government to close the borders so that the Coronavirus will not continue to infect Americans like other countries have closed the borders to protect their people. the all this is is a money grab for the hospital's FDA and big Pharma and its corruption,0,2020-02-29T18:08:48.000Z
13,Noel Blake,Corona virus American death 0 7/11 employees killed over night 200k,0,2020-02-29T17:22:05.000Z
14,James Lee,The fall was an accident...there is a video of it.,0,2020-02-29T14:55:07.000Z
15,Rob Roberts,Lies and more lies from the medical field. WTF are you doing Carnival your at fault. What company leaves a sixth floor window able to be opened?,0,2020-02-29T14:39:06.000Z
16,Internet Marketing Maps,"*_The man they fired unjustly, lost his house as a result - But that's not all he lost, he also lost his wife, his dignity and his vehicle was repossessed, so what did they expect? ...Did they really expect this man to simply roll over and die? ...Because, that's exactly what he did do, but before that, he had some unfinished business to take care of and few scores to settle, and he did that also._* 👀😩",0,2020-02-29T10:48:14.000Z
17,Val Tito,NOgoodBullshitCenter,0,2020-02-29T08:03:35.000Z
18,Reck Tom,"Not to worry everyone Pence is on the case. He’ll get to the bottom this. 
Coronavirus😏.....you little rascal.",0,2020-02-29T05:39:12.000Z
19,Flip Ya,Just what the heck are they spraying?.,0,2020-02-29T04:52:12.000Z
20,S. Roy,"Corona Virus = CCP strategy to be Super Power
CCP = A World  Threat for Humanity",0,2020-02-29T04:31:35.000Z
21,Warren G.,"Man fired, because he got sick, given points , had to let him go because of bad policies. You wonder why people get angry and shoot people , who enforce such bad policies.",0,2020-02-29T03:42:34.000Z
22,Umar Abdullah,More scared of Corona virus than guns?,0,2020-02-29T01:40:09.000Z
23,Umar Abdullah,Gun Control anyone?,0,2020-02-29T01:39:46.000Z
24,John Halstead,Those masks are a fake.  It can stop either you give out the virus 🦠 or taking the virus 🦠 In.  Another way to take our money.,0,2020-02-28T21:49:18.000Z
25,SPONGE BLOB BLUETOAD,Thanks trump you are a big help to America,0,2020-02-28T21:28:18.000Z
26,Jaeger Man,"People seriously watch this government crap ? CNN, ABC, CBS, NBC, MSNBC, BBC ETC government scripted  ''news'' lies.",0,2020-02-28T21:10:54.000Z
27,ace ventura,coronavirus is nothing new do your research  .the media is hyping this up to crash our markets. open your eyes,0,2020-02-28T20:36:45.000Z
28,Lavern Scott,What is wrong w these old dem?☺ fighting againest each other to win just words who .said this who said this who said tha?☺😜one of them will die before the elec?☺ they should stick to each other and dont give the demon way to enter but what i dont like .joe elez bernie cursing each other i want us to win to get out the demon but i dont like the way they turning againest each other it not sopose to be that way i would they all run in peace .they are not young like when oboma?☺ take office cant they see they are going to drop dead before that day its 2 much stress? And none of them are poor so what are they fighting for money it do not worth it time is short?☺😙😛😊,0,2020-02-28T20:00:42.000Z
29,thomas boyd,liars,0,2020-02-28T19:31:55.000Z
30,thomas boyd,fu lester the jester,0,2020-02-28T19:31:00.000Z
31,thomas boyd,and level 4 bio wep released escaped then blame game what a shame,0,2020-02-28T19:30:19.000Z
32,thomas boyd,yeah and all those app permissions dummy,0,2020-02-28T19:26:50.000Z
33,thomas boyd,Michael Jackson copycat sad,0,2020-02-28T19:23:47.000Z
34,Ethan,"Glad you didn't gut the team of 12 of the best pandemic scientists in 2017 and not replace them.  Oh wait, you did.",0,2020-02-28T19:01:02.000Z
35,Ethan,"Anybody recognize the rifle, or suppressed subgun the officer at 02:24 is waling with?  The long, slotted receiver and the AR accessories are throwing me.  Doesn't even look like an AR build, or even like an MP series.  Even a custom job should have a receiver I recognize.",0,2020-02-28T18:56:54.000Z
