,author,content,score,time
0,Silvia Logan,"Italy is the worst case scenario for coronavirus. When I saw the news yesterday, there were 10 pages of obituary of people who died from this viral infection. I have some cases where I live in Ottawa, but it is just mild.",1,2020-03-17T20:38:21.000Z
1,Cheikh Talib,It’s not enough deaths.We need corona virus to be more aggressive.Too many people who n this congested world.Also it’s survival of the strongest.,0,2020-03-17T08:44:23.000Z
2,Helena L,Germany will closed everything except supermarkets on Wednesday,0,2020-03-16T17:01:41.000Z
3,Dagger - الخنجر,"You can't quarantine anything , the apocalypse is here and it isn't stopping soon , the rollercoaster has just begun moving.. You've been warned before but closed your ears",0,2020-03-15T08:56:23.000Z
4,GASPARE E GRIMALDI,Coronavirus natural remedies fast results search YouTube Gaspare E Grimaldi,1,2020-03-15T06:22:48.000Z
5,Scorpion,"This is a new fashion for the future. Face mask and glasses , made in China.",0,2020-03-15T01:07:24.000Z
6,amrik Singh,I like your news safe to Corona virus please sarching utub amrik Singh mosquito and face book,0,2020-03-15T00:45:00.000Z
7,Beatle Toons,"Do not take the virus test they will tell you its positive and will put you on a bus to a fema location where you will be vaccinated and you will die . THIS IS NOT A JOKE > THIS IS THE AGENDA
TO DEPOPULATE THE WORLD",0,2020-03-14T22:28:42.000Z
8,Sarabjit Sandhu,Why are people using the whole name coronavirus covid 19 ?? Is there another coronavirus ?? Is it not enough to say coronavirus?? Or even CV??,0,2020-03-14T22:19:19.000Z
9,RdL,stay home and play some doom eternal comming the 2oth,0,2020-03-14T19:58:43.000Z
10,Rania Elhoudali,Chinese were trying to become batman lmao.,1,2020-03-14T18:39:03.000Z
11,Galicias Gone,"no need for being sick and grotesque. have some respect and stop being so mean with the news and graphic things. sick sick sick  and they should fine those jerks who buy so much to then resell it expensive, they are gross people with zero brain and heart, and stores raising prices are being same garbage. is sickening how humans are in reality in times of need.  gross",0,2020-03-14T17:53:56.000Z
12,GUITAR LESSONS - BobbyCrispy,"All over the media there are maps of the total number of cases of the Coronavirus in the world. I'd like to see maps of the number of recovered cases of Coronavirus, or current number of cases ( total cases minus recovered cases ). Showing only the total number of cases seems a little deceiving and cause even more fear",0,2020-03-14T17:51:25.000Z
13,byram101,"COVID-19 Is not a good name and is not used by the public.... What WOULD be a good name for a deadly disease spreading around the world and killing people?... ""Communism"".",0,2020-03-14T17:18:29.000Z
14,julius ceasar,"a proton and a neutron were talking the other day ,the proton said ,""did you know everything is made up of atoms"" ,to which the neutron replied ,'the Chinese make up everything too""",0,2020-03-14T16:49:13.000Z
15,Dan Boden,Liberal governments keep spreading chicken little disease just to cause panic when it suits their narrative of orange man bad.,0,2020-03-14T16:32:29.000Z
16,TrueLove,Does anyone personally know a single person who has coronavirus? Someone who is not a celebrity?,1,2020-03-14T14:51:21.000Z
17,Kenley Marcellus,why coronavirus is not a good sick because everybody  can't travel why,1,2020-03-14T14:37:30.000Z
18,Higzy Teflon,"Does anyone here personally know anyone who contracted and died from SARS or Ebola when it was all over the news? Neither do I, and just like SARS and Ebola, I'm beginning to believe this Coronavirus nonsense only exists on the news you watch on television. Also, MSM news stories and videos don't prove a damn thing, so don't bother posting links in an attempt to prove it is what you believe it to be. That would be hilariously foolish.",0,2020-03-14T14:02:59.000Z
19,Mythodes,Bro In the Netherlands there are already more than 1000 cases and still the schools aren’t shut down.,1,2020-03-14T13:12:20.000Z
20,Shawn,Why did the so called time travelers not tell us about this😕,0,2020-03-14T12:41:33.000Z
21,Jules Practice,"I think it says a lot about US healthcare system that a health care worker would choose to travel to Italy FOR VACATION when Italy is under lockdown. She should be the first to understand the severity of the problem. If our healthcare workers don't grasp infectibility and spread, then they will be the first to catch and spread the disease.",0,2020-03-14T12:12:53.000Z
22,Democrat,it would be safer to bury Trudeau now before he gets the rest of Canada sick.,0,2020-03-14T10:48:16.000Z
23,CorruptEyess X,This world is corrupt,0,2020-03-14T07:06:35.000Z
24,BigSky Family,Tell people to stock up & close everything down.  Stay home & relax. Netflix & chill,0,2020-03-14T06:54:05.000Z
25,makaveli8979,Not to worry everybody. Canada has just found the vaccine,0,2020-03-14T04:31:15.000Z
26,Django90,Внимание Внимание!!,0,2020-03-14T03:58:10.000Z
27,c0brasss 78,🦇🥗,0,2020-03-14T03:57:43.000Z
28,Moises Espinal,Hold up.....who in the right mind would go out and say “hey let’s go travel even when there’s an epidemic killing millions!”. Sometimes we prove to be the smartest animals on this planet but other times I just feel like some of us have no brains at all.,0,2020-03-14T02:57:20.000Z
29,Mezza,China has invaded the world,0,2020-03-14T01:41:13.000Z
30,Paco Aguilar,Y estados unidos perdió mucho dinero con ese peso del petróleo contra los árabes k pusieron el petróleo por los cielos y ahora para reactivar la economía trump como el vergas k es se inventó el corona virus para aumentar las compras de todo para no colapsar y así seguí teniendo dinero,0,2020-03-13T22:19:47.000Z
31,A P,I find that ignorant and stupid that another country gets upset about the ban. Extreme precautions needed to be in place and slowly it's happening.  Traveling needs to stop,0,2020-03-13T22:11:53.000Z
32,Louie Fence,*Laughs in Native American*,0,2020-03-13T22:11:07.000Z
33,E Mont,"lets hope justine has it ,and no cure,,,,,yiipppeee",0,2020-03-13T21:50:30.000Z
34,Junk journaling made easy Lisa Perez,"Instead of concentrating on the deaths, lets look at how many survive.  Example in the flu of 1918.
1 billion people world wide was infected with the flu.  Out of the 1 billion people 50 million died, that means 950 million survived.",0,2020-03-13T21:34:48.000Z
35,Corona Virus,Ahaha I’ve infected them,0,2020-03-13T20:37:55.000Z
36,Casper Turner,without common sense idiots  pay for decisions,0,2020-03-13T20:22:54.000Z
37,Alex Valdez,Why do people travel it speareds the viruse,0,2020-03-13T19:59:42.000Z
38,Anna Vajda,Don't forget lots of those people live to socialize they don't enjoy isolation like some of us do.  They actually look down on sensible folks sooo....,1,2020-03-13T18:25:29.000Z
39,John Dickson,The EU had NO say on who comes and goes from the US!,1,2020-03-13T18:11:41.000Z
40,100 subscribers with only 1 video,"coronavirus:
* Me that had 3 *flintstones vitamins*",1,2020-03-13T17:50:54.000Z
41,M T,0:48 saying they weren’t given warning........ its a virus thats sweeping the world in a matter of days. How much of a warning is he looking to get.,2,2020-03-13T17:33:33.000Z
42,rick couture,food grown in human waste and exported from China/others.  safe/unsafe????,0,2020-03-13T17:18:56.000Z
43,jess jesse,Spreading fear is biggest hysterically under mass people ! That old trick work each generations ! People are fear obessioned !,1,2020-03-13T17:17:39.000Z
44,jess jesse,If it a break out virus then all chinees labratory people are dead ? Easy math dude !,0,2020-03-13T17:15:45.000Z
45,Sad Though,"Coronavirus: Exists.
Mysterio: Now that's an Avengers level threat!!",0,2020-03-13T17:13:48.000Z
46,ymhktravel,"Too bad girl, why are you still travelling in such uncertain times? Conoravirus, even if you are young and recover from it, it'd have scarred your lungs as some young recovered patients have complained of being easily out of breath by just quickening their walking pace. So it isn't the same back to normal thingy.",0,2020-03-13T16:48:39.000Z
47,Angel Olmeda,The elites are going in their bucker,0,2020-03-13T16:24:37.000Z
48,tim styiener styiener,FEARMONGERS,0,2020-03-13T15:51:34.000Z
49,Troy Facette,I feel zero remorse for anyone who ends up in quarantine due to flight band cuz clearly you are the reason these flight bans had to be set in place. Congratulation on being stupid tho 👍,1,2020-03-13T15:46:28.000Z
50,Shannon Hgau,"Can’t understand why some people still travel, still meetings. They don’t know it’s so dangerous for others also",1,2020-03-13T15:27:06.000Z
