,author,content,score,time
0,Celeste Engel,if you were planing to go to italy your plans are ruand,0,2020-03-29T20:25:48.000Z
1,Johnson Mediva,Let's look unto God,0,2020-03-14T15:19:21.000Z
2,Russian_Spy,This was obviously a disease made for population control by China but got out of hand cause of the lunar new year this is just my suspicion of course but I can’t help but think the corona is a biological virus don’t you guys get it the government does not care about us only our money and votes (if your living in a democratic country),1,2020-03-14T06:58:40.000Z
3,hydrolito,"Pope seemed to have something when he was with people. He should have stayed home instead of infecting people. If you got virus be in cold, flu, corona, or anything else avoid giving it to others.",0,2020-03-13T21:04:35.000Z
4,Ami Riegel,This is ALL A LIE PEOPLE. PRAY AND ASK GOD TO SHOW YOU THE TRUTH. WE'RE BEING PLAYED AND WE FELL FOR IT.  Re doing of the economy it will be wonderful.  SHE GOT IT FROM THE MAIL MAN.,0,2020-03-10T00:24:11.000Z
5,Sean Black,Bunch of people freaking out for nothing.The flu is worse than the corona virus for most people.,0,2020-03-09T04:29:06.000Z
6,XxAlex Plays RobloxX Ally,Really Wuhan city u have to eat bats and snakes oh my god,0,2020-03-06T01:50:39.000Z
7,hairol nizam,"Sorry Dr. Tedros,  correction..Iran is not a muslim country...they'r note",0,2020-03-05T18:40:50.000Z
8,Akn videos,"China says, who eat cow meet then attack by Coronavirus",0,2020-03-04T03:05:35.000Z
9,Akn videos,Now global population control by Coronavirus.,0,2020-03-04T03:05:08.000Z
10,Hafsa Adeel,I am scared,0,2020-03-03T13:20:27.000Z
11,Kenny Angelo,but still I can't be more blessed that this will wipe out a lot of terrorists ...THANK YOU CHINA,0,2020-03-02T21:35:47.000Z
12,o,"Please, not another Waco massacre (where 76 adults and children were murdered). Stop demonizing the natives.",0,2020-03-02T05:04:15.000Z
13,Elmer Tandang,Mayayaman bansa naapektohan nyan Nvov19,0,2020-03-02T04:25:42.000Z
14,Lindy Kaz,"Why are the workers in the factory touching the mask with their hands. They should have gloves on. Their wearing a mask but no gloves,WTH! No News can get anything straight with what is happening. Their information is all over the place. Bunch of tard-o's",0,2020-03-02T04:15:23.000Z
15,Rick Pederson,Natives you lost the war !!!!!!!!!!!!!!!!!! You do not care about Canada,0,2020-03-02T03:48:35.000Z
