,author,content,score,time
0,Beat Worship,"Empty hospitals, empty emergency centres, piles of unused equipment, no queues, no bodies, nothing but big words and zero actual proof. Get a grip people",0,2020-04-10T13:46:11.000Z
1,HtX HalliTroniX,11 22 33,0,2020-04-09T22:04:56.000Z
2,StarkillerGoose,What are they going to do with the torch?,0,2020-03-25T14:18:03.000Z
3,Cherian Mathai,This is why China needs to be sued for damages. There will be huge losses.,0,2020-03-25T11:52:47.000Z
4,David Senger,What will happen if mass murders happen THEN it's all  over with an  World wide economic collapse  hello Gaia,0,2020-03-25T09:29:04.000Z
5,jess jesse,"China got 16 city experiment with 5G stations ! See the results spread disease , get worse each day ! Are you deaf stooopeth or extreemly dumb dude ? Dhemn ?",0,2020-03-24T23:15:27.000Z
6,jess jesse,"Wuhan got 5g stations testing ! 5 G is cancer , hartfailure , memmory lost , blindness , damages dna cells ! Did you listen to 3G danger ..? No you didnt ! Suffer or get awake dude ? Are tou dumb or what ...?",0,2020-03-24T23:14:00.000Z
7,Carl Wakeling,CORONAVIRUS😷 IS MORE SERIOUS THAN STUPID OLYMPICS,0,2020-03-24T21:07:13.000Z
8,Kramas Music,"Meanwhile people in North Korea are like, “Who’s Covid?”",12,2020-03-24T11:17:55.000Z
9,권힘찬,"Cheer up, everyone.
We will never give up and will surely find a solution.
As always...",0,2020-03-24T11:04:58.000Z
10,GAMER GALAXY,"I love Islam, Islam does not teach to eat unhealthy foods that can be harmful to humans.",0,2020-03-24T10:22:44.000Z
11,Mike,Thanks China. Bunch of ....,0,2020-03-24T08:07:33.000Z
12,Usa mabaho,"Cancel.
Naps lie about no cases,,, 
Money and power is death today, don't go",0,2020-03-24T05:17:07.000Z
13,김우일,"If one player is impacted, During Olympic season, the player's teammates should do self isolation for two weeks. It's unfair",1,2020-03-24T04:45:28.000Z
14,MLKWY,"The Olympics 2020 is truly, fcked.",1,2020-03-24T04:15:28.000Z
15,Bari Forever,"Japan: ""The Games will go on!""
Canada, Australia: ""We will boycott Tokyo 2020"".
World: ""We will also boycott it"".
Japan: ""We are first place of Olympic games in number of medals!""",4,2020-03-24T03:37:06.000Z
16,Kenjie Mandeve,2:47 I thought im watching world war z...,1,2020-03-24T03:07:00.000Z
17,James Hisense,"This Coronavirus (COVID- 19) started in Wuhan, China. There are rumors saying that it was a biological weapon made in China that got released due to China's lack of proper safety and security protocol in their lab. If it is true then, China claiming it to be a mysterious virus is unwarranted since, they created it themselves and China claiming it to be a mysterious virus is just them trying to shift the blame away from them.",0,2020-03-24T02:03:20.000Z
18,Alex,"United States
Coronavirus Cases:
43,469
Deaths:
545
Recovered:
295",1,2020-03-24T00:05:26.000Z
19,Felipe Correa Vieira,Wuhan pneumonia,0,2020-03-23T20:08:43.000Z
20,dino cali,Why don't cancel this Olympic?,0,2020-03-23T19:25:54.000Z
21,sanujit roy,Olympics to be delayed,0,2020-03-23T17:50:38.000Z
22,pretty selected,Military investments & guns can't save anyone now...🙂,0,2020-03-23T15:59:28.000Z
23,Lim Fay Lin,"Corona won't stop.. U want to know
Corona... Catastrophes.. Combat.. Crash.. Captive.. Chip or Chop Ceased.",0,2020-03-23T13:15:50.000Z
24,polarized wave horizontally,Japan is just crazy!,0,2020-03-23T12:04:00.000Z
25,Tesh Games,It’s almost if the world is telling us to relax a bit,0,2020-03-23T11:58:59.000Z
26,Lynette Ray,All sports events should be cancelled worldwide until next year. We need to understand this virus has us by the balls for a while.,0,2020-03-23T10:44:04.000Z
27,General El-Nino ElNino,"When they said 60% of world population will be infected, that was damn true. The worst is yet to come. Oh God help us 🙏",5,2020-03-23T10:21:26.000Z
28,Svetla Nikolova,My country is acting asif we are at war. They are spreading panic and we are at lockdown not to mention you need papers to go to a pharmacy,0,2020-03-23T10:17:40.000Z
29,Tukki tan,What's the problem in holding Olympics next year? Human lives are more valuable than some medals.,9,2020-03-23T09:52:36.000Z
30,Meshari Manie,Stay strong,0,2020-03-23T09:34:56.000Z
31,J,This year Olympic will be postponed for sure...even Tokyo will incurred loss for this year Olympic as audiance  may avoid crowded places,0,2020-03-23T09:00:08.000Z
32,Yeon Jae Lee,This is just a push in the communistic direction.,0,2020-03-23T08:02:13.000Z
33,rj f,ya,0,2020-03-23T06:31:40.000Z
34,what's up,Hold on....wait till june30!,0,2020-03-23T06:28:28.000Z
35,Jum9 P,"If we don't stop the Olympics, it's going to be a death festival.",62,2020-03-23T06:21:58.000Z
36,DadeReamer,"The IOC and Japan, it seems, unofficially decided to postpone the Olympics to Autumn 2020 or Summer 2021. They said that cancellation is NOT an option and would do everything they could for the athletes around the globe. It will be officially announced soon.",3,2020-03-23T05:55:16.000Z
37,Tom Ski,"Thank the Chinese Communist Party for spreading misinformation and not allowing Western experts access. 
We would have all the information 2 months ago.",1,2020-03-23T05:52:21.000Z
38,Tom Ski,"Most countries under-reacted initially, now they are overreacting.",7,2020-03-23T05:49:16.000Z
39,pat fonta,".    i am sorry   Kim Jung  Kunnieee
 
 from Tony  the  Sicily Code kid",0,2020-03-23T05:44:52.000Z
40,Laker Madness,"Somebody please remind me
who won the 2016 Olympic
gold medal 🏆 in
Rhythmic Gymnastics...
 Hmmm???  I thought so...",2,2020-03-23T05:34:57.000Z
41,COVID-19 CORONA VIROUS,Corona will be defeated 😷😷😷💉💉💉💊💊💊🤒🤒,0,2020-03-23T05:02:17.000Z
42,Laker Madness,"NOBODY cares about Olympics
Boooring💤",3,2020-03-23T04:33:39.000Z
43,Arjuna,COVID-19 = Chinese Origin Viral Disease - 2019,1,2020-03-23T04:22:15.000Z
44,D. S.,"Some really good people would not go there, but if you think about, vodka is a good virus killer.  That is what I do is wash my hand with soap and follow it up with a Vodka wash hands, arms an face.  Even money I get as change I wash them.  It is that I am old and want to live.",0,2020-03-23T04:14:41.000Z
45,me me,"To me, they are making such a big deal about this virus. 5.5 billions people is the population of the earth, approximately 13.000 people die . Is called natural selection.",0,2020-03-23T04:11:28.000Z
46,WannaBe Hipster,"*Coronavirus:* ▪Exists▪
*Governments:* Avoid Social Gatherings! 
*People of Gen Y and Z:* Let's go to the beach and party! 😂👊🏼",3,2020-03-23T03:51:44.000Z
47,Gundam Magic,I really wanna know the reason why Japan is not endorsing the postponement of the Olympic. I would gladly take this postponement since I will have my graduation trip in the summer 2021.,0,2020-03-23T03:41:16.000Z
48,paul Drake,THis plan will NOT work-think about it!!,1,2020-03-23T03:34:32.000Z
49,paul Drake,The world is going CRAZY!!  No need.,2,2020-03-23T03:33:49.000Z
50,Facts Only,"How stupid can this situation get, a virus that has no vaccine, spreads like crazy, kills old and young, healthy and weak, as if these Olympics are that important to showcase, when viewership has been declining over the years, athletes are using enhancing means and not getting caught, where most athletes do not get medals and this country counting medals done by the media is overhyped  in the month when in the end when its over no one will remember who won what. The Olympic movement is big business now and has nothing to do with the spirit of sportsmanship.",0,2020-03-23T03:26:21.000Z
51,Amy Knorr,"It is my statement that Lisa Bullock, Jennifer Meagher and Polita Barnes formally Peggy Rissotti, had an assignment for Russia, to work toward shielding information to and from Amy Knorr, myself, all of my life from my birth on June 22, 1968 until present.

Target information: the Ulster NatWest Vault account, Donald Knorr's Will, The National Trust, the Royal Public Compensation Program, any proposed entertainment projects, especially the documentary series, the Royal Family, any proposed vocational plans in government, my government reports, information about Mata Hari.

The goals: facilitate theft of my vault account, creative ideas, vocational plans, compensation program business properties, halt and block the documentary series, make future Royal plans without Amy Knorr.

Required to complete the process: the death of Amy Knorr.

Brad Knorr planned to do a documentary about Pygmalion.

Matt Lukin is the one with the information about the bloodline of Ville Valo losing his St. Louis Senate idea to Polita Barnes' bloodline. Matt Lukin planned to do a documentary about St Louis during the reign of Marie Antoinette.

Dan Peters had a finished proposal for Llewellyn the Great.

Amy Knorr, myself, in addition to previously submitted documentary subjects, wanted to work on the introduction to Egyptian Latin as the written and spoken language of Egypt.

""Island Magic"" anchored islands; Bermuda, Haiti, Manhattan...

I also plan: The Hudson Expedition, Kuan Yin's Mongolia, Versailles, Food documentaries.

Celine Dion wanted to work on a documentary about Wales.

Millie Bobbybrown and others wanted to work on a documentary about the Pennsylvania Dutch, as well as the Royal Family's contributions across America.

Many signed up for the project.

The Nigerian mafia had been working with Russia in the murder plot against Marilyn Monroe.

The old Nigerian underworld is now part of the American underworld.

JFK was the Ancient World Fixed Twin Soul of Marilyn Monroe, parted 2600 years ago.

Sylvia Plath had been their bloodline daughter.

If Nigeria was working to finish the job against Amy Knorr, bloodline descendant of Marilyn, then the American underworld, which infiltrates the American government, is helping Russia in the murder plot against Amy Knorr.

Other American underworld operatives: Roxanne CNA of Country Villa, Patricia of Budapest, Eric Wilson of Sublime.

Is the excessive Corona virus propaganda part of an elaborate cover for a murder that permits underworld take over?",0,2020-03-23T03:26:09.000Z
52,miss Zaafrani,They should be worrying about vaccine get rid of this virus not some games that are worthless right now,1,2020-03-23T03:20:54.000Z
53,Kerkopes,"Japan: ""The Games will go on!""
Virus: ""Hold my Corona.""",55,2020-03-23T03:20:38.000Z
54,Gabby C,Fine post pone only no canceling !!!!,0,2020-03-23T03:20:34.000Z
55,wantafanta01,japan has it under control tbh.. more so than most countries.. they could do it if they mandate a quarantine before you can attend..,0,2020-03-23T03:18:15.000Z
56,Tron Nort,anything to keep Trumps crack down on global corruption out of the news.,0,2020-03-23T03:15:54.000Z
57,Sleaze Marko,"It's just a flu, I had it before and I am fine. Everyone can get it and there's nothing to be afraid of.",0,2020-03-23T03:10:37.000Z
58,longrider,"People should remember what infectious disease specialists tell us about coronaviruses.... yesterdays pandemics are today's seasonal flu's so this ""pandemic"" will be tomorrows seasonal flu.",0,2020-03-23T02:59:47.000Z
59,Chairman Mao,Japanese did not foresee the west couldn't contain virus as they did,4,2020-03-23T02:50:56.000Z
60,Men’s Fashion Guide,"What do u guys except 🤷🏻‍♂️🤷🏻‍♂️ it’s End times y’all r blind to see that government is not wit us but against us. I said it before I’ll said it again, y’all need to wake up!!!!!!! And repent!!!",1,2020-03-23T02:45:07.000Z
61,dynoacid,Please I just wanna live live so I can continue to live  this nightmare of a world please!!!!,6,2020-03-23T02:42:16.000Z
62,Ron Estrada,Jubilee for all,0,2020-03-23T02:37:54.000Z
63,Cheryl Ng,"MASKS DO NOT PREVENT YOU FROM GETTING THE VIRUS. BUT WHY ALL MEDICAL PERSONNEL WEAR MASKS. I FEEL MASKS DEFINITELY REDUCE THE CHANCES OF YOU GETTING VIRUSES, REDUCE CHANCES OF YOU TOUCHING YOUR FACE, REDUCE SPLASH DAMAGE FROM COUGH DROPLETS. I FEEL THAT PEOPLE WHO SAY MASKS ARE USELESS WANT TO PREVENT US FROM GETTING MASKS SO MEDICAL PERSONNEL HAVE ENOUGH SUPPLIES. TELL ME I AM RIGHT.",4,2020-03-23T02:33:45.000Z
64,rizo 5000,BIO-WEAPON FROM CHINA.....!!!!,1,2020-03-23T02:28:44.000Z
65,Rizal Jose,This is all a hoax,2,2020-03-23T02:26:31.000Z
66,Vincenzo Deleo,2019 E bike motorcycle summer 20 V a how do do you change the speed on,0,2020-03-23T02:00:30.000Z
67,Willy Strutz,What a terrible report. Your goal here is to worry. You need to put context on all this. Not just pick and choose what will worry Canadians and publish it in search for ad revenue. Really ashamed as I hoped our media would be more for the people at this time rather than profits.,0,2020-03-23T01:13:56.000Z
68,Jean-Francois Saine,"Majority of pandemic viruses are a result of our relationship with animals, namely, how we ""farm"" and kill them for dietary consumption. 

If you want these pandemic diseases to end, stop eating animal products.

Some sources of pandemics you may want to know about:

Measles = Cows
Small Pox = Camels
Whooping Cough = Pigs
Typhoid Fever = Chickens
Influenza = Ducks
Leprosy = Water Buffalo
Common Cold = Horses
Ebola = Fruit Bats
Aids = Non-Human Primates",0,2020-03-23T01:05:26.000Z
69,Jeff Whitney,Postpone til 2030,6,2020-03-23T00:38:45.000Z
70,Stormrunner0002,For their protection the World should delay the games.,22,2020-03-23T00:31:00.000Z
71,James Garcia,Boycott the Olympics.,20,2020-03-22T23:55:35.000Z
72,Uffi Sachs,Trump wants to help North Korea with combating the pandemic...is this a joke? Trump cant even get a handle on the virus in the USA.,0,2020-03-22T23:34:40.000Z
73,JuniJuin Enero,South Korea ftw,11,2020-03-22T23:27:37.000Z
74,Lanis Davey,Give it a freakin break!  What’s more important the Olympic Games or the lives of human beings! Stop it!!!,2,2020-03-22T22:51:10.000Z
75,P 500,Purge round dis muf.... Ring the alarm....,0,2020-03-22T22:26:49.000Z
