,author,content,score,time
0,Iris lol,"Coronavirus is only a kind of cold, if feeling ill can stay at home, other healthy persons outside activities no need to wear mask.",1,2020-03-25T13:17:54.000Z
1,tony jones,Should of stoped along time ago dumb f doesn’t even know what he has done,0,2020-03-25T00:46:33.000Z
2,Frank Derik,"expedditetools,com made a transfer of $16,000 to my account. They are very helpful.",0,2020-03-24T10:02:30.000Z
3,Greyman137,Let's encourage PM Trudeau to step-down from his position as Prime Minister.  He is ineffective in his position. Let's hope his control measures doesn't bankrupt the country.,0,2020-03-23T03:35:12.000Z
4,Hilal çevrim,Önünüze  gelen boku yerseniz böyle olur  doğruysa +1,0,2020-03-22T23:48:52.000Z
5,Mikhail Garasimchuk,"If you want to receive salvation please pray with me:
Dear God, I’m coming to You in the Name of Your Precious Son Jesus Christ.
Please forgive all my sins and take me my heart, and give me salvation in Your Precious Holy Blood ?
Amen",0,2020-03-22T21:46:22.000Z
6,Mikhail Garasimchuk,"It’s time to find God!
God and only Him will protect all of us!
He is in control!",1,2020-03-22T21:38:53.000Z
7,Muhammad Rifki,This is more serious than resident evil zombie,3,2020-03-22T04:01:29.000Z
8,Sam Chiu,"Florida is nuts. If your friends from Florida want to visit, tell them now is not a good time! 😷",0,2020-03-22T02:29:55.000Z
9,pat fonta,.                                    good   coMM-Men-tin-N   Gcim div #,0,2020-03-21T23:50:00.000Z
10,pat fonta,"i remember it code
planinN days code is cooL  

.           wasn""t  that     45*     degreeE       dimpoltic))))oooo            how do humans spell it                             question  




.",0,2020-03-21T23:44:30.000Z
11,JR,AS AMERICA SURRENDERS TO THE BEAST OF REV 13 TRUMP WILL BRING THE ENTIRE WORLD TO THE GOD OF THE OLD TESTAMENT AND IRON LAW.,0,2020-03-21T18:02:33.000Z
12,Betty Dunn,"Well done, the people making masks.",0,2020-03-21T17:54:45.000Z
13,Jake Lawson,The virus likes parties too. It will come to your party to have fun and multiply.,2,2020-03-21T15:10:11.000Z
14,Linda Whittle,"Fact Checks on C Virus: From Doctors in China 
Thick mucus blocks air ways in the lungs.
Things to do :
1) Drink hot liquids – sip warm water every 20 min. this will wash the virus into the stomach where the gastric juice neutralizes the virus before it can reach the lungs. Gargle with antiseptic
 mouth was every day. 
2)  The virus attaches to hair and cloths detergent kills the virus wash cloths when you get home. Bath or shower after outings. Avoid sitting on anything go straight to shower. If you cannot wash cloths daily hang in direct sunlight this will neutralize virus.
3) Wash metallic surfaces virus remains viable for 9 days. Car handles – door handles-any surface that you may have touched.
4) Wash hands every 20 min. with soap that foams for 20 seconds.
5) Eat fruit and veg , increase zinc and vit c . Avoid eating and drinking cold things.
6) Animals do not spread virus .It is person to person
7) FOR ANY SORE THROAT GURGLE IMMEDIATELY THE VIRUS LIVES IN THROAT FOR 3 DAYS BEFORE IT GOES TO LUNGS.",0,2020-03-21T13:52:01.000Z
15,wulfraed of Ivanhoe,Must watch  YouTube video by Gerry Zimmerman called RN DISCOVERS VACCINES contain CANCER cells 😬 please share.... Vaccines Bio weapons,0,2020-03-21T10:31:04.000Z
16,Godwin Goodman,"look at what people are doing,  worshiping idols, gay lesbians, God is against all this read Leviticus 18:1-30 and exodus 20:1-17",0,2020-03-21T06:22:58.000Z
17,danny de leon,Groups no biger than 10 person ?? Thats not enough. And that only hurt our economy.  Or we go all the way lock up or dont do nothing,0,2020-03-21T06:03:45.000Z
18,WilMar,We love Florida Gov.,0,2020-03-21T05:27:29.000Z
