,author,content,score,time
0,True North Strong and Free,".Tedros and his Canadian sidekick, Dr. Aylward need to be fired from their positions at WHO. Both of them have their heads stuck so far up Emperor Xi’s rear it’s not even funny! What a pair of  brown noses!",0,2020-04-09T08:19:26.000Z
1,NetTubeUser,42:28 -- Riiigth ... suuure... (cringe moment).,0,2020-04-07T11:57:17.000Z
2,Kumato Dan,"He’s a criminal for sure, helping the evil CCP coverups their crimes",0,2020-04-03T07:18:57.000Z
3,K. Ganesan Ganesan,China is commerlising Coronoviruses equipment  tools.,0,2020-03-20T23:47:17.000Z
4,K. Ganesan Ganesan,Introduce herbal tea in meetings. Liver and lungs are activated.,0,2020-03-20T23:40:15.000Z
5,K. Ganesan Ganesan,Treat planet as one No mention of countries.,0,2020-03-20T23:35:07.000Z
6,K. Ganesan Ganesan,Eatly evidences  might have been destroyed. Trace traces for  scientific truth.,0,2020-03-20T23:30:07.000Z
7,K. Ganesan Ganesan,Introduce herbal tea,0,2020-03-20T23:25:31.000Z
8,K. Ganesan Ganesan,Don't rely Chinese news,0,2020-03-20T23:22:04.000Z
9,Lin Jannifer,"COVIR-19、Wuhan Pneumonia should be named as China Pneumonia
China Output Virus In December-2019 → COVID-19",0,2020-03-11T14:56:03.000Z
10,alzheimer Mer,"Tedros Adhanom looks like an idiot, talks like an idiot, so = an idiot!",0,2020-03-09T11:22:22.000Z
11,Swans down River,"Your organization should be dissolved you are so incompetent. Tedros is a crook. He brings shame to Ethiopia
🖕🏿👨🏿‍🦲🖕🏿",0,2020-02-26T10:43:20.000Z
12,Pc Chain,"Chinese fascism, having succeeded in destroying the whole world, this biological weapon has denounced China's hideousness.",2,2020-02-24T14:47:23.000Z
13,Teresa J,Tedros Adhanom should take part of the responsibility for virus spreading so badly. Because too many countries believe what he said and then take the actions too late !!!,6,2020-02-24T04:06:27.000Z
14,LeLocle,"Tedros must resign.  Add your name to the petition at ""Change dot o r g"".",0,2020-02-21T19:17:56.000Z
15,Phương Dung,How much money do you get in China? Tedros Adhanom,1,2020-02-21T13:23:24.000Z
16,awesome lee,"Tedros Adhanom Ghebreyesus why don't you move to Wu Han to help those patients since you feel China is safe now, obviously tell the lie.",3,2020-02-19T13:33:49.000Z
17,awesome lee,"譚德塞 
你這坨屎 
要找到比你更草菅人命的官 
只有中共",0,2020-02-19T13:30:53.000Z
18,I G,"WHO is a media suit that is to mask the dying in China. Chinese health authorities quickly isolated the virus' genetic sequence and shared it on a public database in a matter of weeks, ""they said"", giving scientists a chance to identify it. China already had the genetic sequence because their the ones that made it. Wake up China. Don't let your government get away with this. Fight! All governments are part of this 2030 agenda.",0,2020-02-16T14:03:28.000Z
19,jhc6608,34:59 They can't answer because the numbers don't make sense. Both thinking it's made up but how do we rephrase the answer so they'll stop questioning?,0,2020-02-16T06:29:29.000Z
20,jhc6608,Is WHO transparent with how their monetary funds/goods are allocated and distributed? Which countries get exactly what and how much??,0,2020-02-16T06:22:52.000Z
21,bob hite,please disregard the mistaken WHO!,0,2020-02-15T22:59:43.000Z
22,K. Ganesan Ganesan,Yes sit solidarity is need  of the hour.,0,2020-02-15T22:55:38.000Z
23,K. Ganesan Ganesan,German example is human science.,0,2020-02-15T22:53:05.000Z
24,K. Ganesan Ganesan,Someone is coughing in this meeting means wromg air is circulating..,0,2020-02-15T22:45:16.000Z
25,K. Ganesan Ganesan,Hlobal level survival spread of  corona virus means global failure of basic Town planning.,0,2020-02-15T22:42:07.000Z
26,K. Ganesan Ganesan,Master plan is politics.,0,2020-02-15T22:34:25.000Z
27,K. Ganesan Ganesan,Enter  strert planning.,0,2020-02-15T22:33:06.000Z
28,K. Ganesan Ganesan,All chinrsse scientidts are  participsting.,0,2020-02-15T22:30:51.000Z
29,K. Ganesan Ganesan,Create regional working group.,0,2020-02-15T22:28:28.000Z
30,K. Ganesan Ganesan,Solidarity created .Thanks to the repeated  merting .,0,2020-02-15T22:23:22.000Z
31,Clement Tan,38:30 China done a great deed for the world. Why are there so many negative responses?,5,2020-02-15T19:36:43.000Z
32,Dan Man,38:30 - Euro News asks about testing or if China pressured the WHO to say China's doing a good job,4,2020-02-14T21:00:50.000Z
33,Dan Man,26:00 - Reuters asks about the management of the crisis,2,2020-02-14T20:52:57.000Z
34,William,WHO cares?,1,2020-02-14T19:12:40.000Z
35,Kevin 213,WHO just a talking head.,0,2020-02-14T17:44:12.000Z
36,Dear Respected The Marshal,China money cannot help Wuhan Virus's patient.,1,2020-02-14T13:37:08.000Z
37,Mark Hong,You are waste,1,2020-02-14T10:35:56.000Z
38,Viw from the Sky,"38:30 this man in incapable to handle WHO, is he a employee a of CCP?",0,2020-02-14T01:23:44.000Z
39,g yu,who is not in the frontline,0,2020-02-14T00:56:28.000Z
40,g yu,who had become cho embarassingly ?,1,2020-02-14T00:53:36.000Z
41,phani sastry,Bunch of joker's and fools are these WHO  guys. Useless fellows and this organization should be dissolved. Every penny spent on them is waste of public money,1,2020-02-13T18:56:33.000Z
