,author,content,score,time
0,Armenia Jones,He probably can slow it down,0,2020-03-10T21:16:01.000Z
1,Armenia Jones,They use marijuana for everything else,0,2020-03-10T21:15:51.000Z
2,Armenia Jones,Maybe they should use marijuana,0,2020-03-10T21:15:23.000Z
3,Marussel Pernites,I don't believe this viruses occur naturally.  I think they're man made and are being spread to depopulate the earth.  They would increase the mortality rate of these viruses in the years to come.  The beginning of the end.,0,2020-03-03T19:50:48.000Z
4,Whites heating & air & appliance repair,Is North Korea infected? Was this created to damage the stock market?,0,2020-03-03T06:23:19.000Z
5,Darling Demi,I’m in Missouri I think I should be find I mean my moms a nurse so .....yeah,0,2020-02-29T16:52:33.000Z
6,OrangeJuice Ye,If the purge happens bcd of this idk,0,2020-02-29T11:23:17.000Z
7,Jean Sooter,It makes me sick because I'm seeing where this is going and what's going on.President Trump should shut all where borders flights everything shut them down,0,2020-02-29T04:04:45.000Z
8,Jean Sooter,Cuz the u.s. is allowing people to come into our countryrelationship airlines everything down who cares they lose millions how many Americans have lost millions you can't even hardly live anymore cost of living,0,2020-02-29T04:03:48.000Z
9,Jean Sooter,Oh my God they need to stop all airlines and everybody come into our country or trying to go out or whatever what's is crazy,0,2020-02-29T03:59:13.000Z
10,Jean Sooter,No I should be able to travel abroad or coming to our country,0,2020-02-29T03:57:26.000Z
11,Amanda Lawsonbaggs,great story,0,2020-02-29T01:26:04.000Z
12,Se A,"The Chinese eating habit must change.They must stop eating donkey, dog, sneak...........!!!! OMG!!! What kind of culture is that. They must stop eating this kind of food. Now the result is this deadly virus.",0,2020-02-29T00:55:10.000Z
13,Tina Shay,"Even if there is liver damage from Fenben, Your Liver can repair itself!",0,2020-02-28T22:42:11.000Z
14,MaybeTheBest,"I can honestly say I have never seen a fat, healthy looking person, at death's door with cancer.",0,2020-02-28T19:38:46.000Z
15,SonicTurboTurtle,6:55 obvious deceptive editing cutting him off like that. What did he say afterwards?,0,2020-02-28T19:00:12.000Z
16,Lisa Kaye,Is this China's warfare? I think it would be one of the things that China has created to use as part of  the country's weapons. Something must have gone wrong for them. Now what? China needs to tell the truth & figure what the hell to do now. Instead of hiding the truth of how this came about . Honesty does not kill.,0,2020-02-28T18:40:45.000Z
17,O G,How did the virus get to Sahara tho??,0,2020-02-28T18:36:55.000Z
18,Jay Inquisitive,Denver Airport's Murals,0,2020-02-28T17:57:43.000Z
19,Lynda Faye,"Go to Agenda Free TV-Steve READS the top news as it comes in to us, updated numbers etc. NAT news cast anchors are too busy combing their hair and fixing their makeup to INFORM US ADEQUATELY---All are at least 24 hrs., up to 2 days behind! So is the W.H.O  what ???",0,2020-02-28T17:25:12.000Z
20,Bill Ratliff,Idiots like those Canadians still going to Italy just for a school trip will spread it..Selfish idiots..,0,2020-02-28T15:33:22.000Z
21,Craig Luchin,"If you are a Christian, then these verses are for you, ""And I heard another voice from heaven, saying, Come out of her, my people, that ye be not partakers of her sins, and that ye receive not of her plagues. For her sins have reached unto heaven, and God hath remembered her iniquities."" If you are not, ""Therefore let all the house of Israel know assuredly, that God hath made that same Jesus, whom ye have crucified, both Lord and Christ. Now when they heard this, they were pricked in their heart, and said unto Peter and to the rest of the apostles, Men and brethren, what shall we do? 38 Then Peter said unto them, Repent, and be baptized every one of you in the name of Jesus Christ for the remission of sins, and ye shall receive the gift of the Holy Ghost. For the promise is unto you, and to your children, and to all that are afar off, even as many as the Lord our God shall call. And with many other words did he testify and exhort, saying, Save yourselves from this untoward generation. Then they that gladly received his word were baptized: and the same day there were added unto them about three thousand souls.""",0,2020-02-28T15:13:49.000Z
22,Dennis Hoffmann,Corona  Virus live map  @t,0,2020-02-28T10:35:04.000Z
23,BacKYard sKy,"How could he be seeating like that and then stan by podium...
It kind of looked staged..... pun intended",0,2020-02-28T08:03:44.000Z
24,von Jimmy,If it hit New York City.... Its all over folks,0,2020-02-28T07:40:56.000Z
25,TheSheeple people,STOP people TRAVELING already.,0,2020-02-28T07:15:41.000Z
26,Misty Johnson,"Ok they saying its flu like , and it last two weeks , well flu its people  in different  ways , see they not say  if gets worse at night ,cause the real flu  makes you feel bad all day  , the flu like only gets worse at night and day time you feel good .to really keep from spreading cover up when you cough , wash your hands , stay home , take sambucol black  elderberry  cold&flu relief  ,  and cough meds and lot of fluids and eat cause you have to feed it like our great mamaw say you got to feed your cold , and don't go out unless you really need to and most of all don't go to the hospital  unless your running a fewer cause hospital 's got more germs in there  from people  who really sick , some dr.'s say let run it course .",0,2020-02-28T03:56:01.000Z
27,Brendan Koh,"Anamike , Since YOU KNOW Which Table ( s ) In China Has $ , can you Please 🙏Tell Me Which One (s ) ?
I Will Travel To China Immediately As Soon As The Covid-19 IS OVER 
😯 🤑",0,2020-02-28T03:39:37.000Z
28,徐一凡,Please prepare a buy a lot of food,0,2020-02-28T01:57:21.000Z
29,徐一凡,They had confirmed  a patient  in Montreal in canada ain Verdun Hospital  case .,0,2020-02-28T01:56:31.000Z
30,acajudi100,No time to travel.,0,2020-02-28T01:36:39.000Z
31,Mindy McIntosh,Italy should not let those students in....if we are too stupid to stop them from going!,0,2020-02-28T00:51:48.000Z
32,Spirit CrossWind,Where the Hell is Bill Gates.,0,2020-02-27T23:55:58.000Z
33,Sheep Tru,"I looked up and saw a horse whose color was pale green. 

Its rider was named 

*Death,* and 

his companion was 

the *Grave.*

These *(two)* were given 

*AUTHORITY* 

OVER 

ONE-FOURTH 

of the earth,

● to kill 

*with* 

•the sword and 
•famine and 
•disease and 
•wild animals.

Revelation 6:8",0,2020-02-27T23:07:10.000Z
34,Sheep Tru,AIRBORN BIO WEAPON!,0,2020-02-27T23:07:00.000Z
35,Nicholas Thien,The spreading of COVID 19 is not the virus but the stupidity of people's who still insisting to travel to high outbreak virus,0,2020-02-27T21:59:35.000Z
36,Melinda Flores,Wash them hands with hot water an soap weaking the virus germs 👍,0,2020-02-27T21:57:07.000Z
37,SwatsRus,The United States news blocking the comments on main news channels .. and live comments,0,2020-02-27T21:37:10.000Z
38,Bobbie Jean,Please everybody in the USA stay in your country 🙏 thank you. This disease is no joke just seen a man laying on the sidewalk died from the outbreak real maybe this is one of the plagues of God,0,2020-02-27T21:04:10.000Z
39,Susan Auger,They're saying a chest scan is better than the blood test,0,2020-02-27T20:26:52.000Z
40,Jessica Hicking,This whole thing could also catapult us into a major global depression . think about all of the economic loss if this continues for any length of time!! NO COUNTRY IS READY!!,0,2020-02-27T20:11:50.000Z
41,Jessica Hicking,There was a news broadcast that mentioned a woman in her forties who was already treated for Coronavirus got retested and is still testing positive! I wonder if this virus stays in you like other viruses do? hopefully you're still not contagious... the virus is evolving right now & mutating. There's also another case of someone that isn't tied to someone else infecting him doesn't meet the criteria! The world is not prepared for a major deadly virus!!,0,2020-02-27T20:08:18.000Z
