,author,content,score,time
0,Jane Doh,China lied & ppl (& the ENTIRE WORLD ECONOMY) died!!!,0,2020-04-10T01:27:05.000Z
1,Just Curious,Fox News is a Health Hazard.,0,2020-03-22T00:19:08.000Z
2,steven henson,Dem hoax !!! Trump offering socialist programs ...  Not on my watch !!!,0,2020-03-18T01:11:21.000Z
3,jamar n' moor,Hahahahahahahahahahahahahahahaha....hahaha,0,2020-02-29T14:09:33.000Z
4,265petsar,"Pence is just a statue, gutless moron, this fool hasn't a clue about anything. When you sit back and let religious stories rule your schizophrenic mind, this is what you become........second in charge of the Asylum. Pence has been put in charge of the Coroner Virus situation because he's  too stupid to realise if things get worse, Trump will blame him for the outbreak in the USA and the drop in the economy, stating it wasn't his fault.  Talk about ' DUMB & DUMBER '. Only a matter of time before Trump and Fox News blame Democrates for the virus.",0,2020-02-28T04:26:15.000Z
5,Robbie Southern,"Wouldn’t surprise me if it’s communist China trying to slow down USA economy it was made in laboratory NOT FISH MARKET , I don’t trust them Chinese it effects older people and China has ageing population problem.",0,2020-02-27T22:15:32.000Z
6,Scott Groves,"Please, Please, Put a Graduate of Trump University to be in charge of this Emergency",0,2020-02-27T21:10:51.000Z
7,Steve -O,If i get this virus i am heading straight for the nearest trump rally and coughing on everyone. If i get it so do you.,0,2020-02-27T16:32:38.000Z
8,jasonauslander,I'm waiting for the creation of the Department of Thoughts and Prayers.,0,2020-02-27T14:55:48.000Z
9,Nicki nurse,All he needs is a sharpie to change the CDC reports...AND IT WILL BE ZERO!!!,0,2020-02-27T06:11:21.000Z
10,Tripwire68 Trig,So are we clear lets not give over to are enemies the basics of life and National defence with our jobs from manufacturing ect.... Lets make a deal your defence for a few more cents gained per purchase,0,2020-02-27T03:53:51.000Z
11,Russ K,Trump fired the pandemic task force a couple of years ago. The genius at work protecting the American people.,0,2020-02-26T18:45:25.000Z
12,manuel acosta,"Don’t worry
That wall is going to contain the virus from USA",0,2020-02-26T01:54:41.000Z
13,SupraSonic snk,🤣🤣🤣 you sheep,0,2020-02-24T22:35:32.000Z
14,Cito Gonzalez,"WHO:it ain’t a pandemic 

America:yeah kid keep saying that we will be here once you pass away",0,2020-02-24T18:16:24.000Z
