,author,content,time,score
0,meditateWILL,is a day late and a dollar short I have family in who said they saw AT is in the middle of a full blown outbreak,2020-03-13 00:30:40,73
1,deb4317,you can have allergies sniffles cough etc that s fairly normal in the spring,2020-03-13 00:35:10,88
2,JasonWakeUpCall,DO THE means a family of four will save 62 454 for a week of park hopper passes they don t need to buy but now the kids can go to college 19 coronavirus,2020-03-13 00:40:12,98
3,CraneAmarantha,college is closed too,2020-03-13 01:03:51,104
4,TurquoisOceans,s in that is closing,2020-03-13 00:29:35,10
5,WilliamMcGowa15,both,2020-03-13 00:30:30,72
6,srschofield1,We had planned our first trip with our daughter to head there better now about our decision to postpone but still bummed We were so excited about this trip,2020-03-13 00:31:10,41
7,deb4317,re not alone stinks,2020-03-13 00:33:22,9
8,annoying_singer,should be able to make their own decisions about whether they want to go or not,2020-03-13 01:01:37,4
9,Dana__Maria,It isn t only about the visitors who would most likely be selfish and still go It s about protecting their staff as well,2020-03-13 01:22:08,40
10,Politco2,literally going there this week pissed that they gave into this paranoia,2020-03-13 00:39:19,7
11,AlexandraErin,do you think maybe the multibillion dollar company with eyes and ears in countries all over the world might know what it s doing can t be said the made it up to bring him down,2020-03-13 02:36:52,26
12,Bologna_Flaps,just arrived at for a 9 day stay,2020-03-13 00:31:39,18
13,LeicaLexus,s a small world,2020-03-13 00:26:46,38
14,Mrridiculous9,it hard to believe no cases at that s means it s a hoax,2020-03-13 00:27:28,7
15,AlexandraErin,No testing means we don t know where there are or aren t cases only confirmed cases s been trying to keep the numbers artificially low because he thinks that makes him look better even though that means it will just be worse down the line made the right call,2020-03-13 02:38:41,29
16,LiveinADHD,please pay your front line cast members regardless of their status time part time college program etc already live paycheck to paycheck,2020-03-13 01:16:41,32
17,bigkidatheart77,sure you pay the cast members in too,2020-03-13 00:32:54,9
18,noem210,I m pretty sure I read another article that said they would,2020-03-13 01:04:15,6
19,sshafer73,I can t believe the amount of people that aren t taking this serious and pissed at I understand that it is upsetting if you have to cancel your plans but we are having a major health crisis with no vaccine We should all be concerned about our health,2020-03-13 01:10:46,20
20,psych1cf1r3,hi person with compromised immune system here who was planning to go for spring break to the mass hysteria we are seeing after having spoken to 3 different doctors they all said that it would be perfectly safe to continue our plans 4 the trip,2020-03-13 02:08:08,3
21,its_menieb,2020 is the year of cancellations,2020-03-13 00:31:18,11
22,vandykhaynes,may include my son s wedding,2020-03-13 00:34:31,5
23,chintimini9,should have been two of the first places closed,2020-03-13 00:54:37,8
24,XzShanz,I was going on 18th and now I m crying so much right now,2020-03-13 00:34:30,9
25,janelle_bly,to We were leaving for land,2020-03-13 00:36:48,3
26,isabellamooney_,mom and dad for making me wait 17 years of my life to go to disney on my senior trip it s closed so look who s not going have just taken me one of the million times I asked as a child,2020-03-13 01:00:47,5
27,KathyCo77505648,IN The most magical place in the universe DisneyWorld is temporarily closing it s doors due to the coronavirus this is extremely significant disneyworldorlando,2020-03-13 02:53:15,3
28,HanCholow,I hope they hook it up with some discounts for the extend the pass,2020-03-13 00:36:54,12
29,Taylorcyp,is going to wreck s economy,2020-03-13 00:36:38,2
30,anne_cis,the residual economic damage will far outweigh the virus,2020-03-13 00:51:14,2
31,darthmeowgrowl,time wondering when that would happen,2020-03-13 00:28:19,5
32,bettybarksdale,I was just there for 4 days 6 crowds well organized no problems this is crazy,2020-03-13 01:24:42,2
33,al2_bob,will be working full time on,2020-03-13 02:30:12,2
34,pebdog5,I was just there today I have season passes so no big deal for us who spent thousands of dollars for thier vacation need to be at the very least partially reimbursed didn t spend that money just to sit in a hotel opinion,2020-03-13 00:34:42,8
35,dscurf,to look it up to get confirmation from a reliable source,2020-03-13 00:33:32,7
