,author,content,time,score
0,SpinDr,can no longer rely on our federal government to competently address the pandemic in any consistent transparent cohesive and meaningful way is going to be up to our and local elected officials to protect the public health,2020-03-11 16:40:40,139
1,andbaskin,I m so confused The president said last week that the number of cases would soon go down to zero,2020-03-11 16:44:16,73
2,Sean86510836,ve reached the pandemic level apocalyptic game is fun I m looking forward to the final boss in 2030,2020-03-11 16:40:38,32
3,EricJRacy,How are people this ignorant you have any concept of how catastrophic an 8 fatality rate would be,2020-03-11 16:49:50,233
4,faith_and_peace,but after what many people have lost their lives It should have been declared earlier to ovoid that were caught off guard thinking it hasn t reached the level for them to take action As an doctor said it hit us like a bomb,2020-03-11 16:52:42,18
5,Eagle4kw,So sad so sad,2020-03-11 16:54:58,4
6,StellaIzStellar,t mean we should all panic,2020-03-11 16:41:41,50
7,Anthony_J_002,s keep god out of this doesn t play a role for a virus spreading so quickly,2020-03-11 17:15:28,18
8,mark_shim,19 2019,2020-03-11 16:41:24,8
9,KhsSarah,an excuse for racism,2020-03-11 17:07:33,6
10,Jasonman94,was already a pandemic nothing new here s continue to boost our immune systems wash hands many people have recovered from the coronavirus but the bias media will not report on the recovered patients wanna spread fear and panic which is disgusting can heal,2020-03-11 16:47:53,20
11,nrdylatinqueen,yes but there are also many that haven t and it s because their imminent system can t handle it Many expelled don t even know they have a compromise immune system people just don t care y all have no compassion what about the people that HAVE recovered,2020-03-11 20:09:54,4
12,connorkersting_,gg,2020-03-11 16:40:31,17
13,domiNate87,a cure is in a different species of bat,2020-03-11 16:59:25,2
14,collin723,shocker,2020-03-11 16:40:36,8
15,sandlinjake,took so long wife an called it that 3 weeks ago,2020-03-11 16:41:56,10
16,manavjivan,new man was anticipated on rational lines,2020-03-11 16:40:43,5
17,Darrin47491882,I think we all officially knew that weeks ago,2020-03-11 16:42:11,6
18,ErnieHoffmeist1,took them so long We knew that 6 weeks ago,2020-03-11 16:42:29,5
19,Hermina02637825,took them so long,2020-03-11 16:40:43,3
20,lernTier,have been done a month ago,2020-03-11 16:41:00,4
21,teddunne,s on first s on second and I dunno is in the,2020-03-11 16:44:55,3
22,AlabokSaAlabok,He will cover you with his feathers under his wings you will find refuge You will not fear the pestilence that stalks in the darkness the plague that destroys at midday Thousand may fall at your side ten thousand at your right hand but it will not come near you 91,2020-03-11 16:57:41,2
23,itsnotveee,have been a long time ago,2020-03-11 16:42:35,3
24,Ammiedha,this,2020-03-11 16:43:18,1
25,theIwinosa,babe,2020-03-11 21:07:38,1
26,eyerolls4days,yeah,2020-03-11 16:40:37,2
27,IamEXS,4 week old news if you can apply logic and reason to information should be another lesson along with the quote unquote professionals authority s rollout plan sets you up for playing catch up always ahead of the mainstream,2020-03-11 16:42:41,2
