,author,content,time
55,DomMurray6,You people are disguising Publish a retraction and apologize to Elon and pray you don t end up in court enjoying a defamation suit Your actions make the President so so right about you Well done,2020-04-18 21:40:33
56,geege67,this is a FULL ON CAMPAIGN RALLY This FILTHY is doing with these press briefings Isn t THAT IMPEACHABLE purefilth,2020-04-18 21:39:30
57,ShermChen,RT turn off trumps lies This is not journalism It is bullshit,2020-04-18 21:38:16
58,WorstPresEver,Suck it little brian,2020-04-18 21:37:20
59,KelsoVe,THANK YOU FOR NOT CARRYING TRUMPS LIES AGAIN TODAY,2020-04-18 21:36:05
60,DRVGXNKXNG,abr attack on businesses in the name of trump,2020-04-18 21:35:57
61,Vent2theworld,Well said sir America is with Japan,2020-04-18 21:35:53
62,agrzil,I think some of your reporters need instructions on mask wearing,2020-04-18 21:35:46
63,usaub40,Baby world news Due to the unemployment crisis in the United States Americans are worried that they are running out of food at the food bank for free,2020-04-18 21:34:09
64,CagmanArthur,RT turn off trumps lies This is not journalism It is bullshit,2020-04-18 21:33:22
65,amvetsupport,turn off trumps lies This is not journalism It is bullshit,2020-04-18 21:31:20
66,AmySMcQueen,I can t believe you re not covering the coronavirus task force Saturday April 18 CNNSucks,2020-04-18 21:30:25
67,Avrilblueeyes,hey there is a briefing going on Incase you didn t know Your viewers need to hear what is going on,2020-04-18 21:30:23
68,PLecacheux,DT Dementia Tardus last 24h tweets are his ending story This is the end my friend You are politically dying No Blessing,2020-04-18 21:25:36
69,AldyenDonnelly,Trump says US is performing better than all other countries except maybe Germany Lie As of this morning US reports 117 COVID19 deaths per million people That s more than Portugal 67 Iran 60 Denmark 60 Germany 53 Austria 49 2,2020-04-18 21:24:57
70,SomeoneWhoIsntI,RT Can t blame thwm after this,2020-04-18 21:23:56
71,Judy19642,President is on Why should anyone trust you to tell us what he says,2020-04-18 21:19:48
72,xxNightRatxx,Hey one of the most important things in history with the virus and your worthless station doesn t cover some of the daily briefings or cut away when our president is speaking what a disgraceful news station,2020-04-18 21:17:50
