,author,content,time,score
0,Blunts_N_Props,no is there someplace we can make a donation to,2020-02-17 22:04:03,105
1,SirPennypacker,Is this outbreak all it took 6 months without a new that s just like the last new,2020-02-17 22:04:27,12
2,johnnymauler,s what happens when you use slave labor,2020-02-17 22:07:32,15
3,SirJorgesWaka,gonna end in tears are concerned about a device when life matters most world indeed,2020-02-17 22:10:02,14
4,stilllightrvlr,dying is interfering with the quarterly forecast We are seriously screwed up,2020-02-17 22:20:39,15
5,DeanRegy_,I guess only one thing can save us from the 15,2020-02-17 22:04:43,7
6,domremaro,And their stock will hit a all time high again on tue the market is not real right now and central banks making a bad situation much worse reality sets in The crash back to earth is going to hurt badly,2020-02-17 22:06:29,9
7,christi5927,poor rich company,2020-02-17 22:27:14,4
8,NikkieGP,d rather keep what have safe than sorry,2020-02-17 22:10:37,2
9,GManBN375,s all shed a tear,2020-02-17 22:15:10,2
10,blade329,m sure there are other places they can get slave labor,2020-02-17 22:16:57,2
11,JS4kix808,are dying and is worried about profits look,2020-02-17 23:25:57,2
12,tsemenko73,there s actually something important to deal with and it doesn t involve money,2020-02-18 00:33:57,2
13,themikeagnes,it s about you,2020-02-17 22:17:29,1
14,havox30,me go find my sympathy for wait it s with my sanity the heck that went,2020-02-17 22:18:55,1
15,BrianWCooley,It should also be investigated if the virus can be transmitted on any parts of the devices and spread longit survives on solid contacts and so on that have come in contact with the virus might transmit it on the apple devices,2020-02-17 22:30:46,0
16,IGrumpyoldpaul,is losing profits while others are only losing their lives,2020-02-17 22:41:53,1
17,henny33,is garbage,2020-02-18 02:42:32,1
18,KathyCo77505648,This outbreak of the coronavirus is really taking a toll on human life as well as our global economy I hope the other healthofficials organizations can get a handle on this devistating virus soon thoughtsandprayers thoughts 2019nCoV,2020-02-18 05:21:50,1
19,owlofbeacon,is it a poetical justice,2020-02-17 22:14:42,0
20,AcSK1LLies,I think it s regular ole poetic justice,2020-02-17 23:56:48,0
21,llogan24,that just the one fella turned up for work of all that overtime mate,2020-02-17 22:17:58,0
22,RobGuy3,hate to see it,2020-02-17 22:22:33,0
23,OttawaWebPro,The virus is already in the middle east It only takes a few terrorist who self infect themselves and board a plane to major US cities and public spaces to do huge damage to home security,2020-02-17 22:30:11,0
24,wscn2kk,could donate to help end the outbreak,2020-02-17 22:37:23,0
25,OEMS322,they are worried about their bottom line while people are dying,2020-02-17 22:38:49,0
26,Bmorepearl,will release the vaccination for that made virus soon because of it,2020-02-17 22:49:08,0
27,SaraM5115,no a tragedy for Apple there a way to force the sick children to go back to their work Or should we start a go fund me for apple,2020-02-17 22:53:28,0
28,devowilliAM,no a couple billion short on the billions of profits they make annually start laying off people to get the top their share,2020-02-17 22:53:58,0
29,AlannQuiros,Is not a surprise are waiting for Q1 to crash the markets to late,2020-02-17 23:01:46,0
30,AlannQuiros,this is then is in bankrupt,2020-02-17 23:02:58,0
31,okiedog5454,the humanity someone start a go fund me,2020-02-17 23:03:20,0
