,author,content,time,score
0,Deirdre0026,14 000 people have died from the flu in the alone,2020-02-25 15:20:37,17
1,valmzrinpa,The R0 factor of the virus is worse than the flu,2020-02-25 19:43:14,13
2,OculusAutemDei,just said it was down to 10 do I know who to believe,2020-02-25 15:16:30,0
3,KellyKtc,is only worried about how this will affect the stock market t rely on him if we could we wouldn t be asking these questions,2020-02-25 15:19:03,14
4,BenWatson069,worries only 35 days till,2020-02-25 15:29:03,5
5,peppersrwe,heard that yesterday,2020-02-25 15:15:18,4
6,Anirudh1969,The new cases are all from the,2020-02-25 15:43:28,3
7,Desslok99,I m not going on any cruise for awhile that s for sure,2020-02-25 15:22:51,4
8,Sonotmyprez2,using scare tactics to cause paranoia and racism,2020-02-25 17:07:49,2
9,Menke06,I was on a cruise when the virus started and I ll be on another in to worry about if you practice good hygiene,2020-02-25 17:25:46,2
10,E_C_N_s,good thing we have the worst president in the to deal with this pandemic he will just disband the because they are not loyal to him,2020-02-25 22:13:07,2
11,Anirudh1969,are now 53 confirmed coronavirus cases in the is up 18 just from,2020-02-25 15:45:35,1
12,jenn_sational_,they here in,2020-02-25 15:16:35,0
13,jryan1923,in has 14 quarantined,2020-02-25 15:20:05,1
14,BeingCharlie,luck,2020-02-25 15:18:30,0
15,NitaFran1,I don t think I believe the anymore,2020-02-25 15:54:18,0
16,Breeconno1,What about the antivirus what is the progress on research,2020-02-25 16:32:52,0
17,NateHarger,those damned buffets,2020-02-25 17:57:03,0
18,BreatheTheStorm,are all from,2020-02-25 19:09:58,0
19,dovan0321,A hearing was held yesterday in so cal over an injunction against the transfer of up to 70 cases to a local facility,2020-02-25 20:30:03,0
20,MeganErickson84,No one is gonna tell us the truth I m sure because they don t even have enough tests and don t want to cause a panic way bepreparedbutdontpanic,2020-02-25 20:52:07,0
21,JackKist,to shut down the borders,2020-02-25 21:10:35,0
22,mariarenee83_,need to get rid of the president our country dying,2020-02-25 21:26:57,0
23,Harouna47893983,s the solution for this virus,2020-02-26 14:08:14,0
24,Sniffmydiddle,technically before the 36 from the cruise ship there were 17 cases 5 of them fully recovered so 12 was the figure he should have said not 10 not that I like defending the orange blimp,2020-02-25 15:33:37,9
25,clt_princee,was just at 13,2020-02-25 15:14:44,2
26,Charles_1314,I hope everyone is healthy we will be able to overcome the virus,2020-02-25 15:15:13,12
27,dreaddinit,it to to spread disease ships have been in the news over the years consistently,2020-02-25 15:33:41,1
28,KmacKris,says there s only 10,2020-02-25 15:27:54,1
29,Sniffmydiddle,technically before the 36 from the cruise ship there were 17 cases 5 of them fully recovered so 12 was the figure he should have said not 10,2020-02-25 15:33:02,1
30,ajgraves14,was off by 43 in his answer about coronavirus cases in the US,2020-02-25 17:39:59,0
31,cideryeon,s because of the infected came,2020-02-25 18:21:42,0
