,author,content,time,score
0,vegas_mitch,34 million cases of the flu last season 36 000 deaths and over 400 000 hospital stays according to,2020-03-27 22:30:47,16
1,Christ0pherLynn,you do realize this literally just started right,2020-03-27 22:32:33,60
2,jamie_purdue,more than any other country in the world also have more cases than any other country in the world thanks to the delayed preparation and response,2020-03-27 22:15:03,24
3,janussuppen,The US has 5 times the population of and 7 times that of cases per 1k capita is 0 3 in US 0 4 in and a whopping 1 2 in their socialized health care and government they appear just as ill prepared their s are worse than the US,2020-03-27 22:56:20,9
4,_lauriemitchell,rate 2nd lowest in the world,2020-03-27 22:20:33,19
5,slamcrash77,climbing death rate in the world are only at the beginning my friend,2020-03-27 22:25:17,88
6,Autarkh,s a bit more than zero It has lots of zeros though,2020-03-27 22:15:02,25
7,macscompute,trump always need to be 1 in everything,2020-03-27 22:17:17,28
8,Anmanwar82,it was supposed to stop at 15 right,2020-03-27 22:39:00,6
9,bruhduke,like a miracle,2020-03-27 22:43:05,2
10,StaunchieCallie,is bad,2020-03-27 22:22:12,2
11,Orlandodude2015,could you please put up the side bar with all the info with covd 19 and the deaths you,2020-03-27 23:39:35,1
12,BlondeWarrior69,share issues our truck drivers are dealing with restrooms due to shippers receivers refusing refusing them at walk up to drive thrus and police towing trucks with PPE 17 hours wait time and long It s an emergency situation you,2020-03-28 00:52:38,1
13,thoughtsofsky,100 000 cases 100 000 votes in Biden2020,2020-03-27 22:55:42,6
14,SacirHot,many recovered and survived,2020-03-27 23:47:36,2
15,Nabil003Massad,my fingers strong,2020-03-27 22:27:26,1
16,moeluvlyj_long,got us we gone move through this with faith and yes there will be deaths,2020-03-27 22:33:14,2
17,NGilbertTurner1,it keep preventing further occurrence,2020-03-27 22:22:25,0
18,KimRHolmes2,again that is just the ones we know about more testing,2020-03-27 22:53:21,0
19,RicardoSpeaknow,have here 1627 infected and 41 people are dead,2020-03-27 23:18:36,1
20,nanashemefan,should follow the lead from,2020-03-27 23:20:25,1
21,amfurtado71,Not surprised together not divide,2020-03-27 23:35:49,1
22,MyQuietStorms,just said He sent thousands of generators to for didn t take them,2020-03-27 22:23:03,1
23,nakatiff,out my page to find out about coronavirus,2020-03-27 22:20:09,0
24,dtitzler,surprise,2020-03-27 22:21:18,0
25,zby0070,this happened in the richest country in the world ironic,2020-03-27 22:58:47,0
26,ddeisher,people at think is to get It s to get these they know what their needs 2nd we didn t need this many B4 they think should have them,2020-03-27 22:59:53,0
27,EvansOrwharhe,The virus US be the target and just be collateral damage,2020-03-27 23:18:01,0
28,TheGoodRat,s what happens when you do actually perform the tests,2020-03-27 23:18:48,0
