,author,content,time,score
0,nc_carol,in other words we should have been wearing them like 2 months ago in the vein of they have been behind on everything from the start 19,2020-04-01 16:33:46,38
1,Hustlediva1,I m glad I followed my own instincts have been wearing masks regardless what the and has been saying Now they will reverse their recommendation now that thousands have already died and tens of thousands have the virus,2020-04-02 17:08:50,3
2,lllluvlife,you are waiting for the to help you you are toast In we are at the mercy of voter fraud who are not fit for office in the first place We have and puppets we are doomed,2020-04-01 16:41:08,35
3,darnelldepalma1,The time is now but there are no masks available,2020-04-01 16:34:28,12
4,wavedaze,The general public don t need the N95s you can make your own cotton mask has videos on how to health and,2020-04-01 16:43:32,20
5,_AIanaC,the time is now,2020-04-01 16:32:26,33
6,shiko_m,the time was about 1 5 month ago but now will be good too,2020-04-03 02:57:04,3
7,PegMargoAnn,my grocery store working daughter is the right time people should be wearing masks,2020-04-01 16:32:26,25
8,bob_falconi,re holding out on us,2020-04-01 16:35:17,3
9,wavedaze,want us to die,2020-04-01 16:43:58,2
10,Andy81662605,should ve been wearing masks in my opinion thing with airports which should ve been closed when and spain were at its peak of infections,2020-04-01 16:32:52,11
11,SGeezil,it takes them as long as it did to figure out s case numbers were bogus we could all be dead,2020-04-01 16:35:47,3
12,wavedaze,The task force has proven their incompetence s like they re doing everything they can to have the maximum casualties to the scientists doctors they re recommending everyone wear masks We re wearing our homemade masks TrumpGenocide2020,2020-04-01 16:39:58,4
13,Moxie_Dog,Right the right people have secured their investments,2020-04-01 16:33:15,5
14,OppyNated,The appropriate time was a month ago The spread is out there now,2020-04-01 16:36:41,6
15,stephennotsaint,listening this puppet long ago,2020-04-01 16:38:23,6
16,bayrute2,usual the president and company dropped the ball,2020-04-01 16:38:31,6
17,Cin2112City,time was a month ago,2020-04-01 16:45:29,2
18,isteadde,it s too late,2020-04-01 16:37:28,4
19,IamAnt85,s the appropriate time,2020-04-01 16:40:51,4
20,WISDOM44141955,should be wearing a mask and gloves when going out in public distancing and staying at home will last until a vaccine or antviral drug is found in the next 12 18 mths This is how long will be on this protocol,2020-04-01 16:43:12,3
21,DCarpenter2015,when the appropriate number of people have died,2020-04-01 16:54:25,3
22,RobMosbacher,I don t see how a mask wouldn t improve your chances of staying healthy if just a bandanna or something Don t wait for these fools to tell you what to do,2020-04-01 16:58:34,3
23,laviedavhi,when all of us are dead could ve done that from the start better safe than sorry,2020-04-01 21:45:39,2
24,Killa_Stuff,t matter people don t have masks and there aren t enough to go around,2020-04-01 16:39:30,1
25,nomorepc12,The only problem is that they are sold out everywhere needs to issue them to everyone as they do in,2020-04-01 16:43:49,1
26,_marybailey_,the masks for the nurses,2020-04-01 16:47:57,1
27,NaughtyNikki777,wearing a mask for 2 weeks,2020-04-01 17:01:03,1
28,jedmiller,dining with non wives,2020-04-02 02:52:00,1
29,springday0317,have been 2 months ago The virus is so contagious that it has to be spread by breathing and talking not by just touching a surface and touching your face at the store is walking around breathing the same air even if you re 6 feet apart Face cover works,2020-04-02 15:39:47,0
30,UBquitus,You mean when you ll have a mask for everyone,2020-04-01 16:36:06,0
31,SandraLParker2,aren t enough masks so that s why they will make a determination later duh failure by this administration for readiness distribution in a pandemic,2020-04-01 16:37:39,0
32,giantsquidrank,about suits will it already be too late when that recommendation goes out,2020-04-01 16:40:47,0
33,Pinkcarla1,like everything else,2020-04-01 16:41:52,0
34,sirjacksonIV,which is fashionably late,2020-04-01 16:43:08,0
