,author,content,time,score
0,SpinDr,the first reported case of community spread was directly caused by the incompetence of the,2020-02-27 22:50:14,79
1,Quantum_Reality,s never actual sources s always an anonymous source they went over vaccine timeline at the conference cut to a town hall suppressing important info to make look bad They ceased flights from and if had his way that wouldn t have happened,2020-02-27 23:36:47,7
2,grandisgrand,were off by 8 years,2020-02-27 22:53:41,7
3,MKMcDaniels1,has the makings of becoming a real fubar situation,2020-02-27 22:58:05,4
4,finallyamommy,I watched in horror when the medical team off loaded 0patients from the cruise ship with absolutely no gear,2020-02-27 23:08:05,4
5,arostab,is getting so old and predictable forward to TrumpLandslide2020,2020-02-27 23:36:41,3
6,Jerrylavender3,is completely unacceptable that training and proper Equipment was not given to government employed when the government requires contractors to have protocols training and equipment are fined for violations Completely unsatisfactory,2020-02-28 01:26:29,3
7,BabyHuey420,surprised at this point,2020-02-27 22:50:08,3
8,casparterhorst,probably got this advice from the vp,2020-02-27 22:51:34,3
9,YbarraEmilio,The makingnof the new hoax,2020-02-27 22:55:42,1
10,JMM621,But but only the best people,2020-02-27 22:51:32,2
11,whateverhewants,there is footage of arrival and it can be seen in plain sight All the way online in is this news,2020-02-27 22:54:27,2
12,Zablockhead,long before demands his her identity be released,2020-02-27 22:55:43,2
13,_lauriemitchell,course this is the newest democrat scandal to take down,2020-02-28 01:39:50,2
14,amazingh0lly,that s not a surprise,2020-02-27 22:50:13,1
15,thepstall,well what was the gear and training they get have so we can have some informed rage I want to at least specifically know why I m mad,2020-02-27 22:56:52,1
16,WallStreetMainS,This is a non issue is receding and so will this very soon is helping coronavirus,2020-02-27 22:57:47,0
17,zuko7381,here we go again then get them protective gear and training,2020-02-27 23:21:13,1
18,JackSpratsMom,I don t doubt that one bit hospitals have not trained their employees on use of beyond mask gloves and gown,2020-02-27 23:24:43,1
19,HazardProtocol,Is this really a whistleblower moment,2020-02-27 23:49:47,1
20,Perfectcomedycr,coronaviruskenya coronavirusfr coronavirusaustralia coronavirusaustralia COVID19 Covid 19 covid19UK,2020-03-02 17:22:14,1
21,leonbakhan,needed to get trained by but the training itself may lead to backdoors implantation,2020-03-05 10:21:36,1
22,Booger_Jean,surprised at all one bit,2020-02-27 22:51:22,0
23,seeker_bdn,comes,2020-02-27 22:52:27,0
24,LibradaHillbet,we panic yet,2020-02-27 22:52:29,0
25,RoeFmLI,shit,2020-02-27 22:52:58,0
26,KVonStrangelove,the circus of trump administration incompetence begins,2020-02-27 22:57:13,0
27,mommapatro,this coming,2020-02-27 22:57:45,0
28,dottylyf,it s time to protect yourself folks the,2020-02-27 22:58:12,0
29,BrandonMunday7,figure,2020-02-27 22:59:03,0
30,FetchkoJonetta,that thinks it s the flu,2020-02-27 23:06:59,0
31,NowItsOurTurn1,the,2020-02-27 23:07:46,0
32,SandyButler1969,I hope people keep speaking up with the truth regardless of possible consequences you have something to say say it don t be intimidated by no damn body,2020-02-27 23:08:58,0
