,author,content,time,score
0,Mrcento,The tweak being that they re struggling to hide it so have started to tell something slightly closer to the truth,2020-02-13 02:07:07,35
1,ChristopherHu2,is a new standard that includes clinically diagnosed cases including all suspected and confirmed cases,2020-02-13 02:14:33,13
2,Flooder3A,in charge,2020-02-13 02:00:30,60
3,amack8328,epidemiologist trump said it will dissipate by,2020-02-13 02:06:02,22
4,ParasmaniaC,bless people,2020-02-13 02:05:32,34
5,batpuss,this guy he s a lung expert and gives a better understanding of the virus out his videos from the start,2020-02-13 02:50:33,15
6,KayEs_isRight,A tweak A tweak due to a visit by,2020-02-13 02:04:57,19
7,Theonly37849972,is hiding the true danger of the virus and the UN need to hold them accountable stop trying to save face and tell the truth,2020-02-13 02:14:25,10
8,CMThuku,the hiding of the true scale and human cost of the virus must be condemned and punished by the community,2020-02-13 04:14:15,1
9,SubstanceD1,lmao first glance I thought dude was wearing a plague doctor mask I was like that s savage af,2020-02-13 02:02:30,10
10,pileat_thracia,we can t fudge the numbers anymore let s come clean,2020-02-13 02:14:57,8
11,Magnusson32,14 000 was a low ball figure entire thing has a genie long out of the bottle these numbers ten fold at least,2020-02-13 02:36:31,4
12,4suziesunshine,is involved it s,2020-02-13 02:13:01,2
13,4suziesunshine,on and for them,2020-02-13 02:28:58,3
14,Anirudh1969,A total of 48 206 cases of coronavirus are being treated in province most of them in the city of,2020-02-13 02:07:04,2
15,DenisKibet001,have been exporting plastic rice to fake fish that s dangerous for human consumption lasting electricals and electronics They export more products to more than they import from,2020-02-13 02:28:13,1
16,DenisKibet001,have been a threat to our elephants in have been killed for ivory taken to,2020-02-13 02:29:35,6
17,jeepinbryan,see how long it is until the revise the count of 1 100 deaths from the virus,2020-02-13 02:24:24,3
18,Anirudh1969,to the region s health commission 33 693 people are being treated in hospitals 5647 are said to be critically ill,2020-02-13 02:10:33,2
19,EdTheGrape,em,2020-02-13 02:15:07,2
20,charlzvinei,help me get out of here,2020-02-13 02:06:15,1
21,Kc_Val_Anfield,like information is now a thing,2020-02-13 02:12:19,1
22,Anirudh1969,19 renames the deadly coronavirus,2020-02-13 02:14:15,1
23,Anirudh1969,s health commission is expected to provide an update on countrywide infections later on,2020-02-13 02:17:14,1
24,DonPepot32,hello to he is waiting in ang,2020-02-13 02:55:40,1
25,DJErichK,nows your chance to and prove us wrong,2020-02-13 12:21:55,1
26,omariv99,this is damn serious any strategy to really deal with this issue,2020-02-13 02:09:24,0
27,Edhofer71,s some nasty tweaking,2020-02-13 02:10:31,0
28,pinitaplays,their lieing basically,2020-02-13 02:12:33,0
29,scarlettethread,they also been downplaying the number of deaths,2020-02-13 02:25:35,0
30,VLynneMurray,s the frigging holy emoji,2020-02-13 02:41:42,0
31,Ou812BillyRay,it wipe them out,2020-02-13 03:01:20,0
32,CorbeauxInvest,need more like counting the number cremated minus normal average numbers cremated then see 30 40 50 000 not these,2020-02-13 03:15:06,0
33,outcomegood,updates on coronavirus from where and by who,2020-02-13 03:19:02,0
34,cindogg88,s a mini flu folks,2020-02-13 03:36:20,0
