,author,content,time
0,CNNPolitics,BREAKING President Trump s former personal attorney Michael Cohen will be released early from prison due to the coronavirus pandemic,2020-04-17 01:45:26+00:00
1,Elizabe00747551,Of course he is,2020-04-18 04:53:23+00:00
2,nunya_bill,Awesome no more non disclosure agreements They should put Cohen on TV everyday before the election to expose the,2020-04-18 04:52:35+00:00
3,SwanWhisperr,Ask about RealityWinner She should be released too,2020-04-18 04:49:37+00:00
4,texaradogirl,Can he spill his guts now Do interviews from home like everybody else,2020-04-18 04:44:50+00:00
5,LauraDe57406219,sogross backstabber,2020-04-18 04:22:58+00:00
6,RitasReel,Wow and Michael Avenatti wonder what Trump thinks of all this,2020-04-18 04:21:14+00:00
7,Butch33359411,That s awesome,2020-04-18 03:58:40+00:00
8,BiNkY59470843,What bird don t fly,2020-04-18 03:52:53+00:00
9,Sweetmama110,Ok So please let him SPEAK We all know that Cohen knows so much more about this TraitorTrump CriminalInChief TrumpCrimeFamily Lets hear it Michael,2020-04-18 03:48:02+00:00
10,dhartmann8200,Great now time in jan for pres to serve time for his involvment,2020-04-18 03:40:19+00:00
11,vickiepage10,He s the only one who had the balls to stand up to trump and tell what he knew,2020-04-18 03:35:46+00:00
12,vickiepage10,I can t wait until he makes his rounds in the news He has much to say,2020-04-18 03:33:44+00:00
13,rebulican,Bullshit,2020-04-18 03:28:54+00:00
14,Eboyer1965,would have been released earlier in California if he was a rapist murderer human trafficker Jay walkers and people not staying inside are still in jail here,2020-04-18 02:59:24+00:00
15,RicardsWilliam,More examples of Donald Trump take care taking care of his buddies everybody else can go to hell,2020-04-18 02:39:12+00:00
16,Q_FahLovesYou,Is he about to snitch fr fr,2020-04-18 02:35:36+00:00
17,pinkestkiss,Nobody feels sorry for Cohen He knew how corrupt trump was and only talked after he found out trump didn t give a darn about him He needs to serve his time like everybody else,2020-04-18 02:34:45+00:00
18,ww3_sgt,Haha hahahhahahahah,2020-04-18 02:13:02+00:00
19,Juliescrazy,Let s Hope Gen Flynn is next FREEGENERALFLYNN,2020-04-18 02:03:35+00:00
20,royaldmd1,Good The only way should ever have gone to prison was if was right there with him,2020-04-18 01:56:34+00:00
21,betsorj,Coronavirus might be Trump s real nightmare,2020-04-18 01:51:23+00:00
22,JaneJholmes,WHAT about the 400 that have died in just one prison god I am so behind it must be so many more Forgive me please,2020-04-18 01:50:34+00:00
23,gelenyarilez,I m glad for him While the biggest asshole is out and harming us all,2020-04-18 01:32:05+00:00
24,kathleen7367341,Scum bag In the white collar prison then gets out Discrimination,2020-04-18 01:29:01+00:00
25,cmccone26,Can t wait to see Cohen on the campaign trail,2020-04-18 01:11:23+00:00
26,GlennaBlau,Time to write your tell all book It practically writes itself,2020-04-18 01:11:20+00:00
27,enlightened421,I wonder if he s going to run for president On the Moron ticket,2020-04-18 01:10:42+00:00
28,kissabletoes361,Here s something you can report in Follow up and report on these inmates that were released from NY FakeNewsCNN,2020-04-18 01:03:08+00:00
29,StuAllen5,under capitalism the safety of the propertied class is paramount,2020-04-18 00:59:32+00:00
30,Jorge98645933,He spoke the truth,2020-04-18 00:34:15+00:00
