,author,content,time
31,opblly,Trump won t let that happen I see a late Friday nite phone call coming up,2020-04-18 00:13:10+00:00
32,SarahZamirsarah,Of course,2020-04-18 00:12:04+00:00
33,2_vexed,Sooo does everybody get out of jail or just rich guys,2020-04-18 00:05:15+00:00
34,Heavenisabeach,Why Who approved this,2020-04-17 23:59:21+00:00
35,OchoLeches,Let s hope they also release JohnHinckleyJr from prison like they did Cohen,2020-04-17 23:57:43+00:00
36,OchoLeches,Let s hope they also release John HinckleyJr,2020-04-17 23:54:25+00:00
37,rantlessinca,Thank you for choosing the high road for yourself amp your family Glad the rest of your sentence will be home We are continuing to resist the current administration God willing we will get America back to preTrump Greatness Corruption be gone,2020-04-17 23:48:55+00:00
38,bevlarson60,Maybe after quarantine Anderson Cooper or Cuomo will get to have a little sit down chat Can t wait to hear what all he s got to say Great timing,2020-04-17 23:28:50+00:00
39,tubawidow,Naw naw naw we are reopening He goes back,2020-04-17 23:21:24+00:00
40,Lottagelato,Lucky him It s like shaving off one and ahalf years of your sentence because home confinement isn t a punishment any longer it s a way of life for all,2020-04-17 23:18:05+00:00
41,claudettesmoot,Good for him At least he was truthful Best wishes to him,2020-04-17 23:00:49+00:00
42,WhyAsk65,WHY Does he have any preexisting conditions that put him in a higher risk group or is it just another case of cronyism,2020-04-17 22:24:07+00:00
43,vreen20,He can thank trump for this literally,2020-04-17 22:22:22+00:00
44,gina_auria,This is good It will have trump pacing in the WH wondering what he is up to who he is talking to and what he is sharing,2020-04-17 21:48:22+00:00
45,Christo41978344,Hope he is given a security detail Trump will do anything to add to his death toll I mean 35 000 in less than 2 months,2020-04-17 21:21:38+00:00
46,Tweetydog56aol1,O,2020-04-17 21:13:01+00:00
47,nancyneff2,Who won the bet on THIS happening Who s next,2020-04-17 20:54:39+00:00
48,xauditor1,Why is any better tha others,2020-04-17 20:53:37+00:00
49,Av69607500,So Glad Maybe He Can Testify More He Still has Info to Give to the Country Let s C Shall We,2020-04-17 20:19:38+00:00
50,NickLee36822819,It s okay for a murderer rapist to get set free as long as Cohen gets his money for his gold toilet and his house Its all good right Cohen Whatever,2020-04-17 20:17:51+00:00
51,liberalpuke,Good for him now how about releasing the poor,2020-04-17 20:11:00+00:00
52,MicciSilva,Total bullshit Is he above the law too Somebody got payola,2020-04-17 19:52:25+00:00
53,bacigalupi_john,And WhiteBoy Rick is still in prison,2020-04-17 19:52:21+00:00
54,Dawniewouldnt,Ok need him to testify later maybe too if he wouldn t lie,2020-04-17 19:50:33+00:00
55,sheLLbeLL_xo,It s bullshit When they get the vaccine next year his ass should be hauled back to jail,2020-04-17 19:40:42+00:00
56,Bri54_tweet,At least he speaks the truth about the bag of carrots,2020-04-17 19:32:41+00:00
57,BlazznSaddles,Is everyone else going to be released to home confinement or is it just for the you know who,2020-04-17 19:23:52+00:00
58,kuriisuti,the cheeto hates him now so I mean okay I guess won t be surprised if he disappears under mysterious conditions tho,2020-04-17 19:20:14+00:00
59,FredericChopi16,Some people are just lucky I just can t figure out I don t think this is a world to bring any children if you have moral consciousness,2020-04-17 19:16:42+00:00
60,the_Neb,Now lets see if he gets Epsteined,2020-04-17 19:14:58+00:00
61,LykeXOther,Might as well let him practice law again since it s all a joke anyway,2020-04-17 19:04:42+00:00
62,BrownOwl411,He s paid a high price for being the fall guy His punishment is enough already,2020-04-17 18:56:04+00:00
63,SYG64109118,Ahem privilege,2020-04-17 18:42:44+00:00
64,WriteHerIn2020,Someone s about to get Epsteined,2020-04-17 18:30:04+00:00
65,Jennybing53,I hope he writes a book,2020-04-17 18:27:13+00:00
66,JanKosFuller,Hopefully that scuzzy weirdo Roger Stone will take his place,2020-04-17 18:25:50+00:00
67,_Star_Fire_1,Ahhh WHITE PRIVILEGE,2020-04-17 18:23:33+00:00
68,JanKosFuller,I m good with that,2020-04-17 18:23:11+00:00
69,HendersonWatso2,Free bill cosby Don t kill bill cosby,2020-04-17 18:22:16+00:00
70,Phurrlosophy,JFC Let all the prisoners out then This is peak white privilege,2020-04-17 18:16:56+00:00
71,Gabriel00627475,I bet he ll have a spot on CNN and a book deal Backstabber,2020-04-17 18:13:56+00:00
72,shainasandoval,I wonder who helped him get out,2020-04-17 18:06:53+00:00
73,Autumnends1,Well more pos animals got and are getting released bc of this coronavirus sooo what s the big deal This pos shouldn t have got out,2020-04-17 18:04:51+00:00
74,SpurFanInSA,I m glad he s released Maybe he can release more dirt on the incompetent impeached bigot,2020-04-17 18:04:00+00:00
75,SaphireAmosAndy,Oh gee Michael Cohen released 100 dispels our mistaken notion that money race celebrity get a different kinda justice MichaelCohen CriminalJustice CriminalJusticeReform prisonerslivesmatter Covid 19 COVID19 prisonerspeopletoo VoteBlueToSaveAmerica,2020-04-17 18:02:16+00:00
76,ann_pavone,ThisIsAmerica,2020-04-17 17:58:32+00:00
77,invisiblehandd,I don t really have a problem with this but very much hope the new Michael Cohen that we saw comes out and continues to provide information ideally ALL in full to the public that helps the public understand as opposed to covering up the truth about his former boss,2020-04-17 17:55:16+00:00
78,StaceyN73410621,I wish him n his family the best jus stay away from Trump please,2020-04-17 17:54:54+00:00
79,Cats3k,Special treatment must be nice He can get back to lieing and fixing things from home,2020-04-17 17:53:52+00:00
80,gauchiste8,Good,2020-04-17 17:43:50+00:00
81,JANIGAYL,Then they should let Paul Manafort out and let him go home,2020-04-17 17:38:45+00:00
82,Chapter12Wife,This makes me happy Congrats,2020-04-17 17:37:33+00:00
83,wise_wabbit,We already know what kind of privilege this is,2020-04-17 17:33:06+00:00
84,authenticFNL,And what did Michael Cohen go to jail again for trump fraud trumplies COVID19,2020-04-17 17:31:40+00:00
85,nancymu25621461,I hope Michael Cohen can tweet and publish what trump really knew,2020-04-17 17:31:25+00:00
86,MDominguezLund,Mike Cohen is no longer an attorney he s going to need a job and a career once released from prison He was a criminal doing criminal acts for Trumps benefit He s repented since once released I d be interested in his follow up Maybe we ll see a book published,2020-04-17 17:31:21+00:00
87,DiggityDogDo,Wow,2020-04-17 17:27:48+00:00
88,Norahgremma,Why is tRump not guilty Everyone around this putz is going to jail How is he not guilty When everyone around you is dirty there s no way he s innocent,2020-04-17 17:25:48+00:00
89,Pattibrooke30,Release the Cracken Time to write a tell all book,2020-04-17 17:22:18+00:00
90,housesandme,This is fine He s doing the time for Individual 1 anyway I hope within the perimeters of his eventual parole that Michael gently makes life for Trump hell every single day of Trump s life A book would be a good start,2020-04-17 17:15:25+00:00
91,wandar1of5,There is no way Trump is worth the price he paid,2020-04-17 17:12:09+00:00
92,Schnitzel_Dog,Great News Keep busy writing Tweets about Client 3,2020-04-17 17:06:08+00:00
93,ginnykc,I m happy about this to me he came clean and I respect that MichaelCohen,2020-04-17 17:03:42+00:00
94,catherineabess,He deserves a break,2020-04-17 16:54:27+00:00
95,breton59er,Well isn t that convenient,2020-04-17 16:50:38+00:00
96,Aquariu65152936,Why not other offenders Why him,2020-04-17 16:41:47+00:00
97,KKoz03,Idk why but this amuses me to no end But please for the love of God do not release Roger Stone,2020-04-17 16:41:07+00:00
98,Jamez_OV_EL,Pretty sure trump wanted barr to have this idiot in the wild so he can get Epsteined,2020-04-17 16:40:25+00:00
99,fuglydonchump,Give ImpeachedForever his cell,2020-04-17 16:39:57+00:00
100,PietschJim,Trump deserves this,2020-04-17 16:26:54+00:00
