,author,content,time,score
0,Lammy101,to see how the take this suspect the won t be as compliant as the,2020-03-09 21:06:22,28
1,_treacherous_13,I m from northern well a lot of people don t get the phrase stay home this works thank god the sanitary system in the north of is excellent big problems will surface if it spreads widely in the south,2020-03-09 21:08:30,101
2,best_e17,shall protect his people,2020-03-09 21:06:00,59
3,shan_the_druid,they wouldn t be sick in the first place aren t all humans supposed to be its people,2020-03-09 21:10:10,83
4,KB_NYK,s more contagious than the,2020-03-09 21:18:14,76
5,jw8c,the panic can only lead to us to err on the safe side right,2020-03-10 00:56:24,10
6,LG___9,these measures will be followed by the rest of the western world knowing what s about to hit the event of our lifetimes,2020-03-09 21:05:33,131
7,jodandayo,s all pray in solidarity not only for the but for all the patients and their families throughout the world and that the world will be rid of this virus one day sooner COVID2019,2020-03-09 21:35:23,27
8,ravenx66,the flu nothing to see here,2020-03-09 21:09:48,11
9,ravenx66,you all realize I was being sarcastic,2020-03-10 02:00:53,3
10,JohnSteers,we put the whole world in lockdown,2020-03-09 21:09:49,13
11,kevin89969959,spread to the other planets,2020-03-10 01:10:30,2
12,JosefromSpain,s just the bro,2020-03-09 21:11:57,2
13,f_vasquez,It s not the flu but you know people actually die from flu every year Thousands it s just thousands of deaths,2020-03-09 22:02:59,3
14,sean_antrim,have happened a long time ago Too little too late,2020-03-09 21:05:44,11
15,zulmme2,a good measure I hope the virus will be kept under control,2020-03-09 21:09:47,12
16,correalenicolaa,Drastic times call for drastic measures I hope everyone stays safe and fully recovers,2020-03-09 22:28:21,12
17,RobRuggio,ll get through this,2020-03-09 21:11:47,9
18,nipahtweets,We are going to survive this as well we are strong people,2020-03-09 21:51:32,8
19,Fil_Giurisato,Hi I m from The real problem is that all our hospitals are full This is the real problem Not mortality but the fact is that this virus is really contagious and if you get it you die of pneumonia because they cannot cure you Is it difficult to understand,2020-03-09 22:15:21,8
20,HenrichsenJohn,the plus side visiting has never been cheaper,2020-03-09 21:47:44,7
21,RufusMuskox,seems like a pretty glam name to give to a nasty virus t they call it something like,2020-03-09 21:17:01,4
22,6Ov0i8NL9UiBhvF,I think the young people should get more education then the old people should be more responsible also has a lot of stubborn old people they finally wear masks not for themselves but for their families,2020-03-10 01:32:50,3
23,littlepoller,big one 1918,2020-03-09 23:44:27,1
24,lncaliheart,the elderly and sick should lock down here and businesses that can could go online we can keep business going and protect the most vulnerable young healthy will build an immunity I don t know We re in a world crisis and need to act,2020-03-09 21:25:49,2
25,Diegogoxp,this now what I m gonna to do in,2020-03-09 21:36:22,2
26,6Ov0i8NL9UiBhvF,few people in wear masks The young man said it is the old people who need to worry The old man said I m so old I m going to die anyway 19 can only kill me once,2020-03-10 01:32:41,2
27,lolajones44,patience is what need at this moment,2020-03-10 17:35:43,2
28,AndreUDP_,coach,2020-03-10 11:54:22,1
29,leo_the_teacher,ll rent him upon request,2020-03-10 13:16:37,2
30,fortydelta,I figured their socialized medical care would have found a cure by now,2020-03-09 22:17:26,2
31,mystifyme,help us all,2020-03-09 21:24:48,1
32,m4s4g03s,a distance and wash hand with soap,2020-03-09 21:51:59,1
33,amysthename,thing you changed your honeymoon,2020-03-09 22:06:27,1
34,mlmarks98,this makes me want to do is go to cuz to see it empty is,2020-03-09 22:10:48,1
35,jatinderbahri,real inside hidden story of corona disaster yet to come out to public a real panic,2020-03-09 22:41:50,1
36,MelanieCornell,is the news not talking about refusing to waive fees or issue vouchers for customers flying into,2020-03-09 23:01:29,1
37,maracotta,triste Um lugar t o vivo sempre mega movimentado repleto de eventos assim como uma cidade abandonada,2020-03-09 23:48:25,1
