,author,content,time,score
0,cant_log_off,No tests no cases guess,2020-03-15 17:39:17,88
1,MsMiyayo305,39 tests in population is 1 8 to other states such as same of people tested vs population The real issue entire needs more testing,2020-03-15 17:51:28,11
2,MinitankGaming,ain t testing so there s nothing to report,2020-03-15 17:41:34,32
3,himukut,The best way to stay far from the disease 19 coronavirus by not testing wise I guess,2020-03-15 17:45:25,9
4,Aganith12,state is yet to report,2020-03-15 17:39:11,4
5,FelixTo83620711,least 3000 out of 327 million down people,2020-03-15 17:42:27,14
6,LoveForAll24,the damn schools,2020-03-15 17:38:33,25
7,thebipolar2003,hasn t closed yet and as of this moment in time there s no use,2020-03-15 17:49:36,3
8,1PMChannel,The hysteria continues more information on how the virus is killing it attack the respiratory system the heart etc How is it killing people more info like that,2020-03-15 17:47:04,6
9,AqeelAlsulaiman,pneumonia,2020-03-15 19:12:10,6
10,stetsoncriswell,don t you ever add the recovered stat to these,2020-03-15 17:40:52,24
11,dgarrison30,How many people die from flu and how many cases,2020-03-15 17:49:38,7
12,JamesRi92021048,is actually a very scary statement is more contagious and 34 times as deadly,2020-03-15 18:33:44,4
13,_Totde_,number i doun t believe is correct its higher,2020-03-15 17:40:23,10
14,MichelleAnousjk,The US is following the same trajectory as the regarding taking action To little To late coronavirus lockdown,2020-03-15 17:42:29,7
15,AOLdotcom_,and community college in is still open btw,2020-03-15 17:39:02,3
16,MANHATTAN265,12 times more silent asymptotic carriers or more,2020-03-15 17:42:22,4
17,Heliosxv,the country the spread is inevitable,2020-03-15 17:50:09,4
18,_SulemanRana,got any statistics on the age group with the most deaths,2020-03-15 17:39:10,2
19,NasrallahJihad,The will defeat the virusthey the best in the world bless,2020-03-15 17:39:38,1
20,NickFalco55,is the fall back zone,2020-03-15 17:40:31,1
21,DonnaCiraFood88,are now more than 3 000 cases of the novel coronavirus in the US it has estimated to reach at least a million in a fortnight should start banning the,2020-03-15 17:43:50,1
22,dolidol46911950,do we know if the bread we from the grocery store is not contaminated if the virus can live in surfaces what about the foods,2020-03-15 17:58:32,0
23,PtboJames81,unlikely surfaces is 12 24 hours you re buying bread fresh from a bakery wouldn t worry as regular packed loaves of bread take longer to hit market,2020-03-15 18:11:28,2
24,chrissyorwig,if we had adequate testing,2020-03-15 17:59:16,1
25,CrezRamirez,I have found the the symptoms of severe nausea caused by exposure to etc can be immediately relieved by simply pressing the button on one s remote But if you re feeling of you will immediately begin to feel better,2020-03-15 19:14:13,1
26,seanvanv,they don t test anyone it is impossible to know how many infected,2020-03-16 01:18:21,1
27,Alfadogg03,I want to know what s in the water in,2020-03-15 19:43:42,0
28,lissbryant,from the coal mines,2020-03-15 22:23:20,1
29,DAVIDMARRS_,like 300 000 cases with 62 fatalities,2020-03-15 17:41:31,0
30,nuttyrutty13,It s because is a scary mother to visit,2020-03-15 17:42:09,0
31,oso_78109,what s that mortality rate,2020-03-15 17:43:43,0
32,beth_george44,2 07 cheated and used a percentage calculator,2020-03-15 18:17:48,0
33,cartola71,goverment,2020-03-15 17:43:47,0
34,mcstanleyndeto,cases now in our lovely home,2020-03-15 17:44:10,0
35,JamesRi92021048,t worry with your help it can top 1 000 000,2020-03-15 18:35:13,0
