,author,content,time,score
0,Lonestarmomcom,needs a new one who enables a corrupt,2020-03-03 22:24:57,32
1,Brindle_Girly,flight were they on for 200 of their fellow passengers,2020-03-03 22:29:25,14
2,Burns95085638,I guess didn t follow up with recent visitors I m sure there is a log we doing of the things that would contain this,2020-03-04 07:27:49,4
3,tms2007,how many people have died from the flu,2020-03-03 22:26:32,2
4,40yroldswiftie,Many people are immune or vaccinated against flu how many are immune to,2020-03-03 22:30:15,18
5,thismomentonly,someone please let the public know what date and flight number this person traveled on from to,2020-03-03 22:28:01,7
6,ravenx66,1000s of people inside the airports so likely not just those on the plane are at risk,2020-03-03 22:55:14,3
7,shantyire,I remember a couple days ago when said there were ony 10 cases here and it is just a liberal hoax,2020-03-03 22:32:58,19
8,JanJanWard,t recently visited,2020-03-03 22:39:45,3
9,Bridge597,I hope he took several deep breaths of that great north air,2020-03-04 01:26:49,4
10,BalaAmi00202669,guide and protect us against this deadly disease,2020-03-04 09:37:51,2
11,lordbyron79,a saw a doctor that has predicted a rebound from the virus that could kill 65 of population on earth At first I thought like everyone the flu kills more people but when has the flu affected the economy We ve lost trillions in stock market last week,2020-03-03 22:47:41,0
12,lordbyron79,today federal reserve cut its interest rates to half will be a tax cut to stimulate the economy it can get worse,2020-03-03 22:48:51,1
13,DinoVembuli,porn many ppl know the people died personally to their funerals,2020-03-03 22:30:12,0
14,haulacanes,this is satire right you re joking no one can legitimately be like this right,2020-03-04 04:10:35,1
15,Mingle1972,maybe,2020-03-04 00:12:30,0
16,dpthtsbynidiot,6,2020-03-04 00:45:10,0
17,TrooperRooster,podcast police statetrooper podcasting podcasts media entertainment tv movies film truecrime,2020-03-04 01:33:26,0
18,kmiller5821,are all the test kits,2020-03-04 21:57:24,0
19,PattyIce3,you have the possible flu I m flying into a city with a confirmed case apartment shall be an epicenter for disease outbreak,2020-03-03 22:34:23,1
20,NickFent,They released a quarantined person in and they went to the mall We are all gonna die,2020-03-03 22:55:16,2
21,shoddytweets,did they get back to many people did they come into contact with along the way Did they fly airline s the tailnumber,2020-03-03 22:27:41,1
22,Happyli80729814,W message to those afraid of Coronavirus master virus hunter who helped fight the outbreak was invited by the government to study the coronavirus and to help them tackle the outbreak,2020-03-03 22:34:58,1
23,timi2bks,fear porn,2020-03-03 23:02:29,1
24,steelyexprt,presumptive,2020-03-03 23:04:41,1
25,ChuckUF06477072,s it We re screwed crap has probably spread to all four corners of the country I d even bet the numbers explode by mid,2020-03-03 22:48:57,0
26,SamDare14,i live in wake county can i get an f,2020-03-03 23:46:59,0
27,zaktaros,trump better stop this virus from spreading,2020-03-03 22:24:26,1
28,JeffWil32637615,He will be as effective as was with means he will be as effective as local healthcare and management of the spread,2020-03-03 22:32:46,2
