,author,content,time,score
0,MrSomebloke,remember,2020-04-02 03:26:39,18
1,KanaMauna,it s is country is trapped in a slow motion train wreck,2020-04-02 02:28:00,57
2,mskjenk,said it s like being strapped to a chair watching a toddler play with a loaded gun,2020-04-02 03:55:43,27
3,Sublimina_L,the resolution of this picture,2020-04-02 07:25:25,5
4,vburshteyn,s right I ll clap my hands and poof factories just appear,2020-04-02 02:59:24,10
5,herbmarselas,door,2020-04-02 02:28:28,41
6,GlennMunoz6,me see if I get this Our and have been sending supplies to other countries when they know that there is a significant shortage of those same supplies in our hospitals are these guys still in the WH,2020-04-02 02:45:48,32
7,negrociriIo,damn y all be claiming to be a first world country but y all government is incapable of protect everyone who works into healthcare,2020-04-02 02:30:49,14
8,cindy81098826,trump,2020-04-02 02:27:32,4
9,Bridge597,glad it only took him 4 months to get to that job since you knew about this 31st TrumpGenocide2020 TrumpGenocide2020,2020-04-02 14:20:31,4
10,wheresistherain,sense who advised trump of this great idea,2020-04-02 02:29:47,2
11,Bridge597,main go to,2020-04-02 14:22:29,1
12,thefatkid_inc,evil man,2020-04-02 03:21:19,2
13,alan_neblung,when are and allies both received huge shipments of critical supplies we need,2020-04-02 08:44:52,2
14,ALLENYEAH123456,will,2020-04-02 02:27:14,1
15,JulieBugP,duh,2020-04-02 02:31:47,1
16,Billkatocarly,the headline says allies either he protects and let s down allies or helps allies and let s down A no right answer situation,2020-04-02 03:07:11,1
17,AterTress,could he even fathom to send medical supplies elsewhere when there s a shortage here would have been the last straw,2020-04-02 04:09:54,1
18,James_S2908,probably a good call,2020-04-02 04:26:42,1
19,Bzakariyya2,d have no other choice but go to,2020-04-02 05:09:51,1
20,baudeclairon,only it stopped but the US just paid cash at airport to get thousands of masks that were ordered by the government is a disgrace,2020-04-02 07:20:08,1
21,OlaniyanToni,is a great theory that needs human to be perfect to work as intended have never been and will probably never be,2020-04-02 07:59:31,1
22,engpharm,it was actually a good idea to send some out to before it hit s shores,2020-04-02 03:08:36,0
23,ChrisCMecteau,things weren t sent out to until the beginning of when the coronavirus was already here,2020-04-02 12:38:48,1
24,tickedoffJJ,they lost it,2020-04-02 02:26:32,0
25,webb5008,lol,2020-04-02 02:30:40,0
